onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.5	1	1	Delay	Pred	1	0	0	n/a	stim_12_A.png	n/a
10.5	2.5	2	1	Delay	Pred	1	0	0	n/a	stim_12_A.png	n/a
15	2.5	3	1	Delay	Pred	2	0	0	n/a	stim_4_A.png	n/a
19.5	2.5	4	1	Delay	Pred	1	0	0	n/a	stim_12_A.png	n/a
24	2.5	5	1	Delay	Pred	2	0	0	n/a	stim_4_A.png	n/a
46.5	2.2927906	6	2	Delay	NonPred	3	2	6	0.2927906	stim_2_A.png	stim_5_A.png
51	2.3129103	7	2	Delay	NonPred	3	1	6	0.3129103	stim_2_A.png	stim_5_A.png
55.5	2.2445497	8	2	Delay	NonPred	4	2	8	0.2445497	stim_3_A.png	stim_6_A.png
60	2.2889386	9	2	Delay	NonPred	3	1	6	0.2889386	stim_2_A.png	stim_5_A.png
64.5	2.3251248	10	2	Delay	NonPred	3	2	5	0.3251248	stim_2_A.png	stim_7_A.png
87	2.3854685	11	3	Delay	Pred	2	2	4	0.3854685	stim_4_A.png	stim_10_A.png
91.5	2.000860186	12	3	Delay	Pred	1	1	1	0.000860186	stim_12_A.png	stim_9_A.png
96	2.4978211	13	3	Delay	Pred	1	1	1	0.4978211	stim_12_A.png	stim_9_A.png
100.5	2.1901431	14	3	Delay	Pred	2	2	4	0.1901431	stim_4_A.png	stim_10_A.png
105	2.1617579	15	3	Delay	Pred	2	1	3	0.1617579	stim_4_A.png	stim_1_A.png
127.5	2.2699452	16	4	Delay	NonPred	4	2	8	0.2699452	stim_3_A.png	stim_6_A.png
132	2.000905653	17	4	Delay	NonPred	3	1	5	0.000905653	stim_2_A.png	stim_7_A.png
136.5	2.000845175	18	4	Delay	NonPred	3	2	5	0.000845175	stim_2_A.png	stim_7_A.png
141	2.4660692	19	4	Delay	NonPred	3	1	5	0.4660692	stim_2_A.png	stim_7_A.png
145.5	2.2700727	20	4	Delay	NonPred	4	1	7	0.2700727	stim_3_A.png	stim_11_A.png
168	2.3702591	21	5	Delay	Pred	2	2	4	0.3702591	stim_4_A.png	stim_10_A.png
172.5	3.006557	22	5	Delay	Pred	1	1	1	1.006557	stim_12_A.png	stim_9_A.png
177	2.29069	23	5	Delay	Pred	1	2	2	0.29069	stim_12_A.png	stim_8_A.png
181.5	2.3668791	24	5	Delay	Pred	2	1	3	0.3668791	stim_4_A.png	stim_1_A.png
186	2.8990337	25	5	Delay	Pred	1	2	1	0.8990337	stim_12_A.png	stim_9_A.png
208.5	2.000903165	26	6	Delay	NonPred	4	2	8	0.000903165	stim_3_A.png	stim_6_A.png
213	2.00086471	27	6	Delay	NonPred	3	1	6	0.00086471	stim_2_A.png	stim_5_A.png
217.5	2.2394822	28	6	Delay	NonPred	4	2	7	0.2394822	stim_3_A.png	stim_11_A.png
222	2.40361	29	6	Delay	NonPred	3	1	5	0.40361	stim_2_A.png	stim_7_A.png
226.5	2.767502	30	6	Delay	NonPred	3	2	6	0.767502	stim_2_A.png	stim_5_A.png
249	3.115869	31	7	Delay	Pred	1	2	2	1.115869	stim_12_A.png	stim_8_A.png
253.5	2.000958595	32	7	Delay	Pred	2	1	3	0.000958595	stim_4_A.png	stim_1_A.png
258	2.1473317	33	7	Delay	Pred	2	2	4	0.1473317	stim_4_A.png	stim_10_A.png
262.5	2.3284268	34	7	Delay	Pred	1	1	1	0.3284268	stim_12_A.png	stim_9_A.png
267	2.3165213	35	7	Delay	Pred	2	2	4	0.3165213	stim_4_A.png	stim_10_A.png
289.5	2.2647739	36	8	Delay	NonPred	4	2	7	0.2647739	stim_3_A.png	stim_11_A.png
294	2.3726835	37	8	Delay	NonPred	4	1	8	0.3726835	stim_3_A.png	stim_6_A.png
298.5	2.2727455	38	8	Delay	NonPred	4	2	8	0.2727455	stim_3_A.png	stim_6_A.png
303	2.3329543	39	8	Delay	NonPred	4	1	7	0.3329543	stim_3_A.png	stim_11_A.png
307.5	2.4411802	40	8	Delay	NonPred	4	2	7	0.4411802	stim_3_A.png	stim_11_A.png
