onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.4288041	1	1	NoDelay	Pred	5	1	9	0.4288041
10.5	2.3912337	2	1	NoDelay	Pred	6	2	12	0.3912337
15	2.4191299	3	1	NoDelay	Pred	5	1	9	0.4191299
19.5	2.4318207	4	1	NoDelay	Pred	6	1	11	0.4318207
24	2.3551722	5	1	NoDelay	Pred	5	2	10	0.3551722
46.5	2.7193346	6	2	NoDelay	NonPred	8	2	16	0.7193346
51	2.324086	7	2	NoDelay	NonPred	8	2	16	0.324086
55.5	2.2469199	8	2	NoDelay	NonPred	8	2	16	0.2469199
60	2.3245738	9	2	NoDelay	NonPred	8	1	16	0.3245738
64.5	2.3616861	10	2	NoDelay	NonPred	8	2	15	0.3616861
87	2.4273506	11	3	NoDelay	Pred	5	1	9	0.4273506
91.5	2.3773668	12	3	NoDelay	Pred	5	2	10	0.3773668
96	2.3870091	13	3	NoDelay	Pred	6	1	11	0.3870091
100.5	2.5032188	14	3	NoDelay	Pred	6	2	12	0.5032188
105	2.5961409	15	3	NoDelay	Pred	5	1	9	0.5961409
127.5	2	16	4	NoDelay	NonPred	8	0	0	n/a
132	2.3247894	17	4	NoDelay	NonPred	7	2	14	0.3247894
136.5	2.001766739	18	4	NoDelay	NonPred	7	1	14	0.001766739
141	2.4190477	19	4	NoDelay	NonPred	7	2	14	0.4190477
145.5	2.3696546	20	4	NoDelay	NonPred	7	1	13	0.3696546
168	2.2918918	21	5	NoDelay	Pred	6	2	12	0.2918918
172.5	2.4316093	22	5	NoDelay	Pred	5	2	10	0.4316093
177	2.3472064	23	5	NoDelay	Pred	5	2	10	0.3472064
181.5	2.3270565	24	5	NoDelay	Pred	6	1	11	0.3270565
186	2.3640289	25	5	NoDelay	Pred	6	2	12	0.3640289
208.5	2.3115439	26	6	NoDelay	NonPred	8	1	15	0.3115439
213	2.3326579	27	6	NoDelay	NonPred	7	1	13	0.3326579
217.5	2.4086852	28	6	NoDelay	NonPred	7	2	13	0.4086852
222	2.3718125	29	6	NoDelay	NonPred	8	1	16	0.3718125
226.5	2.4572885	30	6	NoDelay	NonPred	8	2	15	0.4572885
249	2.3805021	31	7	NoDelay	Pred	5	1	10	0.3805021
253.5	2.4899144	32	7	NoDelay	Pred	5	1	9	0.4899144
258	2.4038808	33	7	NoDelay	Pred	6	2	12	0.4038808
262.5	2.3522678	34	7	NoDelay	Pred	6	2	12	0.3522678
267	2.7565172	35	7	NoDelay	Pred	6	2	12	0.7565172
289.5	2.4248537	36	8	NoDelay	NonPred	8	2	15	0.4248537
294	2.3639112	37	8	NoDelay	NonPred	7	1	14	0.3639112
298.5	3.376014	38	8	NoDelay	NonPred	7	2	14	1.376014
303	2.5171032	39	8	NoDelay	NonPred	7	1	13	0.5171032
307.5	2.3687514	40	8	NoDelay	NonPred	7	2	13	0.3687514
