onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.4082557	1	1	Delay	NonPred	3	1	6	0.4082557
10.5	2.03463448	2	1	Delay	NonPred	4	1	8	0.03463448
15	2.1346804	3	1	Delay	NonPred	3	1	6	0.1346804
19.5	2.3479122	4	1	Delay	NonPred	3	1	5	0.3479122
24	2.2163368	5	1	Delay	NonPred	4	1	7	0.2163368
46.5	2.3401321	6	2	Delay	Pred	2	2	4	0.3401321
51	2.3210328	7	2	Delay	Pred	1	2	2	0.3210328
55.5	2.4765996	8	2	Delay	Pred	1	1	1	0.4765996
60	2.2161003	9	2	Delay	Pred	2	1	3	0.2161003
64.5	2.1875183	10	2	Delay	Pred	2	2	4	0.1875183
87	2.5281152	11	3	Delay	NonPred	3	1	5	0.5281152
91.5	2.2992968	12	3	Delay	NonPred	4	2	8	0.2992968
96	2.001727941	13	3	Delay	NonPred	4	1	7	0.001727941
100.5	2.07604814	14	3	Delay	NonPred	4	2	8	0.07604814
105	2.3433442	15	3	Delay	NonPred	3	1	6	0.3433442
127.5	2.2431279	16	4	Delay	Pred	2	2	3	0.2431279
132	2.1684618	17	4	Delay	Pred	1	1	1	0.1684618
136.5	2.3247331	18	4	Delay	Pred	2	2	4	0.3247331
141	2.295819	19	4	Delay	Pred	1	1	1	0.295819
145.5	2.3087334	20	4	Delay	Pred	1	2	2	0.3087334
168	2.2480805	21	5	Delay	NonPred	3	1	5	0.2480805
172.5	2.3720503	22	5	Delay	NonPred	4	1	7	0.3720503
177	2.2643375	23	5	Delay	NonPred	4	1	7	0.2643375
181.5	2.1324157	24	5	Delay	NonPred	3	1	6	0.1324157
186	2.3122256	25	5	Delay	NonPred	3	2	5	0.3122256
208.5	2.2363242	26	6	Delay	Pred	2	2	4	0.2363242
213	2.2627775	27	6	Delay	Pred	1	1	1	0.2627775
217.5	2.1487511	28	6	Delay	Pred	2	2	4	0.1487511
222	2.001821069	29	6	Delay	Pred	1	1	1	0.001821069
226.5	2.2050792	30	6	Delay	Pred	1	2	2	0.2050792
249	2.4090755	31	7	Delay	NonPred	4	1	8	0.4090755
253.5	2.1714492	32	7	Delay	NonPred	3	1	6	0.1714492
258	2.03200568	33	7	Delay	NonPred	4	2	7	0.03200568
262.5	2.09286979	34	7	Delay	NonPred	4	2	8	0.09286979
267	2.2253478	35	7	Delay	NonPred	3	2	5	0.2253478
289.5	2.2760791	36	8	Delay	Pred	1	2	2	0.2760791
294	2.04131772	37	8	Delay	Pred	2	1	3	0.04131772
298.5	2.2446176	38	8	Delay	Pred	1	2	2	0.2446176
303	2.2487084	39	8	Delay	Pred	2	1	3	0.2487084
307.5	2.001682381	40	8	Delay	Pred	2	2	4	0.001682381
