onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.52432	1	1	Delay	NonPred	4	1	8	0.52432	stim_12_A.png	stim_6_A.png
10.5	2.2800332	2	1	Delay	NonPred	3	1	6	0.2800332	stim_9_A.png	stim_11_A.png
15	2.2992506	3	1	Delay	NonPred	4	1	7	0.2992506	stim_12_A.png	stim_10_A.png
19.5	2.3502751	4	1	Delay	NonPred	3	1	6	0.3502751	stim_9_A.png	stim_11_A.png
24	2.2923464	5	1	Delay	NonPred	3	1	6	0.2923464	stim_9_A.png	stim_11_A.png
46.5	2.4874894	6	2	Delay	Pred	2	1	3	0.4874894	stim_8_A.png	stim_1_A.png
51	2.2601638	7	2	Delay	Pred	2	2	4	0.2601638	stim_8_A.png	stim_5_A.png
55.5	2.001777457	8	2	Delay	Pred	2	2	4	0.001777457	stim_8_A.png	stim_5_A.png
60	2.00175903	9	2	Delay	Pred	2	1	3	0.00175903	stim_8_A.png	stim_1_A.png
64.5	2.2321136	10	2	Delay	Pred	2	2	4	0.2321136	stim_8_A.png	stim_5_A.png
87	2.473837	11	3	Delay	NonPred	3	1	5	0.473837	stim_9_A.png	stim_4_A.png
91.5	2.2804676	12	3	Delay	NonPred	3	1	5	0.2804676	stim_9_A.png	stim_4_A.png
96	2.2524976	13	3	Delay	NonPred	3	1	6	0.2524976	stim_9_A.png	stim_11_A.png
100.5	2.4311359	14	3	Delay	NonPred	4	1	7	0.4311359	stim_12_A.png	stim_10_A.png
105	2.4522042	15	3	Delay	NonPred	4	1	8	0.4522042	stim_12_A.png	stim_6_A.png
127.5	2.3269946	16	4	Delay	Pred	1	2	1	0.3269946	stim_7_A.png	stim_3_A.png
132	2.001733794	17	4	Delay	Pred	1	2	2	0.001733794	stim_7_A.png	stim_2_A.png
136.5	2.1357119	18	4	Delay	Pred	2	2	4	0.1357119	stim_8_A.png	stim_5_A.png
141	2.3705872	19	4	Delay	Pred	2	1	3	0.3705872	stim_8_A.png	stim_1_A.png
145.5	2.2320419	20	4	Delay	Pred	1	1	1	0.2320419	stim_7_A.png	stim_3_A.png
168	2.3562053	21	5	Delay	NonPred	3	1	5	0.3562053	stim_9_A.png	stim_4_A.png
172.5	2.280371	22	5	Delay	NonPred	4	2	7	0.280371	stim_12_A.png	stim_10_A.png
177	2.2511113	23	5	Delay	NonPred	4	2	7	0.2511113	stim_12_A.png	stim_10_A.png
181.5	2.3192975	24	5	Delay	NonPred	4	2	8	0.3192975	stim_12_A.png	stim_6_A.png
186	2.4280613	25	5	Delay	NonPred	3	1	6	0.4280613	stim_9_A.png	stim_11_A.png
208.5	2.270569	26	6	Delay	Pred	2	1	3	0.270569	stim_8_A.png	stim_1_A.png
213	2.4839596	27	6	Delay	Pred	2	1	3	0.4839596	stim_8_A.png	stim_1_A.png
217.5	2.2868187	28	6	Delay	Pred	1	2	2	0.2868187	stim_7_A.png	stim_2_A.png
222	2.5388803	29	6	Delay	Pred	1	2	2	0.5388803	stim_7_A.png	stim_2_A.png
226.5	2.5361357	30	6	Delay	Pred	1	2	2	0.5361357	stim_7_A.png	stim_2_A.png
249	2.5958288	31	7	Delay	NonPred	4	1	8	0.5958288	stim_12_A.png	stim_6_A.png
253.5	2.3199833	32	7	Delay	NonPred	4	1	7	0.3199833	stim_12_A.png	stim_10_A.png
258	3.436357	33	7	Delay	NonPred	3	2	5	1.436357	stim_9_A.png	stim_4_A.png
262.5	2.3278068	34	7	Delay	NonPred	4	2	8	0.3278068	stim_12_A.png	stim_6_A.png
267	2.4603939	35	7	Delay	NonPred	3	2	5	0.4603939	stim_9_A.png	stim_4_A.png
289.5	2.4721253	36	8	Delay	Pred	1	2	2	0.4721253	stim_7_A.png	stim_2_A.png
294	2.01943297	37	8	Delay	Pred	1	1	1	0.01943297	stim_7_A.png	stim_3_A.png
298.5	2.3826233	38	8	Delay	Pred	1	2	2	0.3826233	stim_7_A.png	stim_2_A.png
303	2.3002606	39	8	Delay	Pred	1	1	1	0.3002606	stim_7_A.png	stim_3_A.png
307.5	2.001777861	40	8	Delay	Pred	2	2	4	0.001777861	stim_8_A.png	stim_5_A.png
