onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.3892729	1	1	NoDelay	Pred	6	1	11	0.3892729
10.5	2.3287282	2	1	NoDelay	Pred	6	2	12	0.3287282
15	2.2948608	3	1	NoDelay	Pred	5	1	9	0.2948608
19.5	2.0974679	4	1	NoDelay	Pred	5	2	10	0.0974679
24	2.00201333	5	1	NoDelay	Pred	5	1	9	0.00201333
46.5	2.2742913	6	2	NoDelay	NonPred	7	2	13	0.2742913
51	2.1506675	7	2	NoDelay	NonPred	7	1	13	0.1506675
55.5	2.2729638	8	2	NoDelay	NonPred	8	2	16	0.2729638
60	2.3266155	9	2	NoDelay	NonPred	7	1	14	0.3266155
64.5	2.5381255	10	2	NoDelay	NonPred	8	1	15	0.5381255
87	2.1098343	11	3	NoDelay	Pred	5	2	10	0.1098343
91.5	2.001787686	12	3	NoDelay	Pred	6	1	11	0.001787686
96	2.1026722	13	3	NoDelay	Pred	5	2	10	0.1026722
100.5	2.2667978	14	3	NoDelay	Pred	5	1	9	0.2667978
105	2.3587653	15	3	NoDelay	Pred	6	2	11	0.3587653
127.5	2.1688008	16	4	NoDelay	NonPred	8	1	15	0.1688008
132	2.2054783	17	4	NoDelay	NonPred	7	2	14	0.2054783
136.5	2.1146805	18	4	NoDelay	NonPred	7	1	13	0.1146805
141	2.1657317	19	4	NoDelay	NonPred	7	2	13	0.1657317
145.5	2.2416498	20	4	NoDelay	NonPred	8	2	16	0.2416498
168	2.09488323	21	5	NoDelay	Pred	6	1	11	0.09488323
172.5	2.2661136	22	5	NoDelay	Pred	6	2	12	0.2661136
177	2.3094854	23	5	NoDelay	Pred	5	1	9	0.3094854
181.5	2.2820142	24	5	NoDelay	Pred	5	2	10	0.2820142
186	2.08634534	25	5	NoDelay	Pred	5	1	9	0.08634534
208.5	2.1055339	26	6	NoDelay	NonPred	7	2	14	0.1055339
213	2.05486812	27	6	NoDelay	NonPred	7	2	14	0.05486812
217.5	2.001774141	28	6	NoDelay	NonPred	7	1	14	0.001774141
222	2.2388827	29	6	NoDelay	NonPred	8	1	16	0.2388827
226.5	2.1462197	30	6	NoDelay	NonPred	8	1	16	0.1462197
249	2.2131455	31	7	NoDelay	Pred	6	2	12	0.2131455
253.5	2.2248775	32	7	NoDelay	Pred	5	2	10	0.2248775
258	2.2453498	33	7	NoDelay	Pred	6	2	12	0.2453498
262.5	2.001774128	34	7	NoDelay	Pred	6	1	11	0.001774128
267	2.001702758	35	7	NoDelay	Pred	6	2	12	0.001702758
289.5	2.2834798	36	8	NoDelay	NonPred	8	2	15	0.2834798
294	2.3104021	37	8	NoDelay	NonPred	8	2	15	0.3104021
298.5	2.001742872	38	8	NoDelay	NonPred	7	2	13	0.001742872
303	2.1256869	39	8	NoDelay	NonPred	8	1	16	0.1256869
307.5	2.2343122	40	8	NoDelay	NonPred	8	1	15	0.2343122
