onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2	1	1	Delay	NonPred	3	0	0	n/a
10.5	2	2	1	Delay	NonPred	4	0	0	n/a
15	2	3	1	Delay	NonPred	3	0	0	n/a
19.5	2	4	1	Delay	NonPred	3	0	0	n/a
24	2	5	1	Delay	NonPred	3	0	0	n/a
46.5	2.2797019	6	2	Delay	Pred	1	2	2	0.2797019
51	2.2760742	7	2	Delay	Pred	2	1	3	0.2760742
55.5	2.04006033	8	2	Delay	Pred	1	2	2	0.04006033
60	2.3002893	9	2	Delay	Pred	2	1	3	0.3002893
64.5	2.264028	10	2	Delay	Pred	1	2	2	0.264028
87	2.5803302	11	3	Delay	NonPred	3	2	6	0.5803302
91.5	2.4163588	12	3	Delay	NonPred	4	2	7	0.4163588
96	2.3005464	13	3	Delay	NonPred	3	1	6	0.3005464
100.5	2.272979	14	3	Delay	NonPred	3	2	6	0.272979
105	2.5088822	15	3	Delay	NonPred	4	2	8	0.5088822
127.5	2.000853081	16	4	Delay	Pred	1	2	2	0.000853081
132	2.2209567	17	4	Delay	Pred	1	1	1	0.2209567
136.5	2.1849703	18	4	Delay	Pred	2	2	4	0.1849703
141	2.000860476	19	4	Delay	Pred	1	1	1	0.000860476
145.5	2.000926889	20	4	Delay	Pred	2	1	3	0.000926889
168	2.2218025	21	5	Delay	NonPred	3	2	6	0.2218025
172.5	2.3135669	22	5	Delay	NonPred	3	2	5	0.3135669
177	2.7901766	23	5	Delay	NonPred	4	1	8	0.7901766
181.5	2.6899708	24	5	Delay	NonPred	4	2	7	0.6899708
186	2.2381229	25	5	Delay	NonPred	4	1	8	0.2381229
208.5	2.2423964	26	6	Delay	Pred	2	2	4	0.2423964
213	2.2859495	27	6	Delay	Pred	1	1	1	0.2859495
217.5	2.2341646	28	6	Delay	Pred	2	2	4	0.2341646
222	2.2381071	29	6	Delay	Pred	2	1	3	0.2381071
226.5	2.2422288	30	6	Delay	Pred	2	2	4	0.2422288
249	2.2706467	31	7	Delay	NonPred	3	2	5	0.2706467
253.5	2.2585639	32	7	Delay	NonPred	4	1	7	0.2585639
258	2.318796	33	7	Delay	NonPred	4	2	8	0.318796
262.5	2.00089012	34	7	Delay	NonPred	4	2	7	0.00089012
267	2.3270375	35	7	Delay	NonPred	4	2	8	0.3270375
289.5	2.000932203	36	8	Delay	Pred	1	1	1	0.000932203
294	2.1594685	37	8	Delay	Pred	2	2	4	0.1594685
298.5	2.2118198	38	8	Delay	Pred	1	1	1	0.2118198
303	2.1593666	39	8	Delay	Pred	1	2	2	0.1593666
307.5	2.07510009	40	8	Delay	Pred	2	1	3	0.07510009
