onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.4383181	1	1	NoDelay	NonPred	7	1	13	0.4383181
10.5	2.1219991	2	1	NoDelay	NonPred	7	2	14	0.1219991
15	2.1967064	3	1	NoDelay	NonPred	8	1	16	0.1967064
19.5	2.3055256	4	1	NoDelay	NonPred	8	2	16	0.3055256
24	2.000243994	5	1	NoDelay	NonPred	7	1	14	0.000243994
46.5	2.4905122	6	2	NoDelay	Pred	5	1	9	0.4905122
51	2.2779811	7	2	NoDelay	Pred	6	2	12	0.2779811
55.5	2.03360354	8	2	NoDelay	Pred	6	1	11	0.03360354
60	2.3106524	9	2	NoDelay	Pred	6	2	12	0.3106524
64.5	2.01820051	10	2	NoDelay	Pred	6	1	11	0.01820051
87	2.6146538	11	3	NoDelay	NonPred	7	2	14	0.6146538
91.5	2.4508194	12	3	NoDelay	NonPred	8	1	15	0.4508194
96	2.3741733	13	3	NoDelay	NonPred	8	2	15	0.3741733
100.5	2.1309483	14	3	NoDelay	NonPred	7	1	13	0.1309483
105	2.7182604	15	3	NoDelay	NonPred	8	2	15	0.7182604
127.5	2.3797023	16	4	NoDelay	Pred	6	1	11	0.3797023
132	2.4384611	17	4	NoDelay	Pred	5	2	10	0.4384611
136.5	2.3950235	18	4	NoDelay	Pred	5	1	9	0.3950235
141	2.7512271	19	4	NoDelay	Pred	5	2	10	0.7512271
145.5	2.3319135	20	4	NoDelay	Pred	6	1	11	0.3319135
168	2.4161356	21	5	NoDelay	NonPred	7	2	13	0.4161356
172.5	2.2914949	22	5	NoDelay	NonPred	8	1	16	0.2914949
177	2.3191964	23	5	NoDelay	NonPred	7	2	13	0.3191964
181.5	2.6036029	24	5	NoDelay	NonPred	8	1	16	0.6036029
186	2.000243818	25	5	NoDelay	NonPred	7	2	13	0.000243818
208.5	2.2990853	26	6	NoDelay	Pred	6	2	11	0.2990853
213	2.1514434	27	6	NoDelay	Pred	5	1	9	0.1514434
217.5	2.09948685	28	6	NoDelay	Pred	5	2	10	0.09948685
222	2.3512171	29	6	NoDelay	Pred	6	1	11	0.3512171
226.5	2.3009088	30	6	NoDelay	Pred	5	2	10	0.3009088
249	2.000403873	31	7	NoDelay	NonPred	8	1	16	0.000403873
253.5	2.460936	32	7	NoDelay	NonPred	7	2	13	0.460936
258	2.448065	33	7	NoDelay	NonPred	8	1	15	0.448065
262.5	2.3725894	34	7	NoDelay	NonPred	7	2	14	0.3725894
267	2.000243758	35	7	NoDelay	NonPred	8	1	15	0.000243758
289.5	2.317429	36	8	NoDelay	Pred	6	2	12	0.317429
294	2.2653164	37	8	NoDelay	Pred	5	1	9	0.2653164
298.5	2.4295635	38	8	NoDelay	Pred	5	2	10	0.4295635
303	2.3604876	39	8	NoDelay	Pred	6	1	11	0.3604876
307.5	2.349361	40	8	NoDelay	Pred	5	2	10	0.349361
