onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.4415983	1	1	NoDelay	Pred	6	2	12	0.4415983
10.5	2.4276676	2	1	NoDelay	Pred	5	1	9	0.4276676
15	2.3935441	3	1	NoDelay	Pred	6	1	11	0.3935441
19.5	2.3656836	4	1	NoDelay	Pred	6	2	12	0.3656836
24	3.152565	5	1	NoDelay	Pred	5	2	9	1.152565
46.5	2.4523974	6	2	NoDelay	NonPred	8	1	16	0.4523974
51	2.5132824	7	2	NoDelay	NonPred	8	2	15	0.5132824
55.5	3.29977	8	2	NoDelay	NonPred	8	1	16	1.29977
60	2.3448261	9	2	NoDelay	NonPred	7	1	13	0.3448261
64.5	2.3732704	10	2	NoDelay	NonPred	8	2	16	0.3732704
87	2.4253302	11	3	NoDelay	Pred	6	1	11	0.4253302
91.5	2.4849359	12	3	NoDelay	Pred	5	2	10	0.4849359
96	2.3536229	13	3	NoDelay	Pred	5	1	9	0.3536229
100.5	2.3813743	14	3	NoDelay	Pred	5	1	9	0.3813743
105	2.2817942	15	3	NoDelay	Pred	5	2	10	0.2817942
127.5	2.5077928	16	4	NoDelay	NonPred	7	2	14	0.5077928
132	2.489278	17	4	NoDelay	NonPred	7	1	14	0.489278
136.5	2	18	4	NoDelay	NonPred	7	0	0	n/a
141	2.2976702	19	4	NoDelay	NonPred	7	1	13	0.2976702
145.5	2.4689482	20	4	NoDelay	NonPred	8	2	16	0.4689482
168	2.5446077	21	5	NoDelay	Pred	5	1	9	0.5446077
172.5	2.5494351	22	5	NoDelay	Pred	6	1	11	0.5494351
177	2.4331486	23	5	NoDelay	Pred	5	2	10	0.4331486
181.5	2.4526816	24	5	NoDelay	Pred	5	2	10	0.4526816
186	2.3281969	25	5	NoDelay	Pred	6	2	12	0.3281969
208.5	2.709005	26	6	NoDelay	NonPred	8	2	15	0.709005
213	2.4086526	27	6	NoDelay	NonPred	7	2	14	0.4086526
217.5	2.342111	28	6	NoDelay	NonPred	8	1	15	0.342111
222	2.2732419	29	6	NoDelay	NonPred	8	2	16	0.2732419
226.5	2.4138383	30	6	NoDelay	NonPred	7	2	13	0.4138383
249	2.4570308	31	7	NoDelay	Pred	5	2	10	0.4570308
253.5	2.4218056	32	7	NoDelay	Pred	6	2	12	0.4218056
258	2.3137702	33	7	NoDelay	Pred	6	1	11	0.3137702
262.5	2.3420781	34	7	NoDelay	Pred	6	1	11	0.3420781
267	2.3125129	35	7	NoDelay	Pred	6	2	12	0.3125129
289.5	2.7344125	36	8	NoDelay	NonPred	8	1	15	0.7344125
294	2.5534504	37	8	NoDelay	NonPred	7	2	13	0.5534504
298.5	2.3164772	38	8	NoDelay	NonPred	7	1	14	0.3164772
303	2.4904475	39	8	NoDelay	NonPred	8	2	15	0.4904475
307.5	2.6937858	40	8	NoDelay	NonPred	7	2	14	0.6937858
