onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.5794298	1	1	NoDelay	NonPred	8	2	16	0.5794298	stim_1_B.png	stim_8_B.png
10.5	2.3368842	2	1	NoDelay	NonPred	8	1	15	0.3368842	stim_1_B.png	stim_10_B.png
15	2.3571878	3	1	NoDelay	NonPred	8	1	15	0.3571878	stim_1_B.png	stim_10_B.png
19.5	2.5128608	4	1	NoDelay	NonPred	7	1	13	0.5128608	stim_11_B.png	stim_6_B.png
24	2.4138038	5	1	NoDelay	NonPred	8	2	15	0.4138038	stim_1_B.png	stim_10_B.png
46.5	2.3927857	6	2	NoDelay	Pred	6	1	11	0.3927857	stim_12_B.png	stim_2_B.png
51	2.4776823	7	2	NoDelay	Pred	6	2	12	0.4776823	stim_12_B.png	stim_9_B.png
55.5	2.3124654	8	2	NoDelay	Pred	5	1	9	0.3124654	stim_7_B.png	stim_4_B.png
60	2.3491969	9	2	NoDelay	Pred	5	2	9	0.3491969	stim_7_B.png	stim_4_B.png
64.5	2.3439195	10	2	NoDelay	Pred	5	2	10	0.3439195	stim_7_B.png	stim_5_B.png
87	2.4295555	11	3	NoDelay	NonPred	7	2	13	0.4295555	stim_11_B.png	stim_6_B.png
91.5	2.3129787	12	3	NoDelay	NonPred	7	1	13	0.3129787	stim_11_B.png	stim_6_B.png
96	2.333765	13	3	NoDelay	NonPred	7	2	14	0.333765	stim_11_B.png	stim_3_B.png
100.5	2.3532	14	3	NoDelay	NonPred	8	1	16	0.3532	stim_1_B.png	stim_8_B.png
105	2.6135764	15	3	NoDelay	NonPred	7	1	13	0.6135764	stim_11_B.png	stim_6_B.png
127.5	2.7131282	16	4	NoDelay	Pred	6	2	12	0.7131282	stim_12_B.png	stim_9_B.png
132	2.2855178	17	4	NoDelay	Pred	6	1	11	0.2855178	stim_12_B.png	stim_2_B.png
136.5	2.3047682	18	4	NoDelay	Pred	6	2	12	0.3047682	stim_12_B.png	stim_9_B.png
141	2.3893027	19	4	NoDelay	Pred	5	1	9	0.3893027	stim_7_B.png	stim_4_B.png
145.5	2.3675582	20	4	NoDelay	Pred	5	2	10	0.3675582	stim_7_B.png	stim_5_B.png
168	2.4373783	21	5	NoDelay	NonPred	7	1	13	0.4373783	stim_11_B.png	stim_6_B.png
172.5	2.4002	22	5	NoDelay	NonPred	8	1	16	0.4002	stim_1_B.png	stim_8_B.png
177	2.372301	23	5	NoDelay	NonPred	7	2	14	0.372301	stim_11_B.png	stim_3_B.png
181.5	2.4891555	24	5	NoDelay	NonPred	7	2	13	0.4891555	stim_11_B.png	stim_6_B.png
186	2.4361425	25	5	NoDelay	NonPred	8	2	15	0.4361425	stim_1_B.png	stim_10_B.png
208.5	2.4012333	26	6	NoDelay	Pred	5	1	9	0.4012333	stim_7_B.png	stim_4_B.png
213	2.5811189	27	6	NoDelay	Pred	6	1	11	0.5811189	stim_12_B.png	stim_2_B.png
217.5	2.311806	28	6	NoDelay	Pred	5	2	10	0.311806	stim_7_B.png	stim_5_B.png
222	2.5498912	29	6	NoDelay	Pred	6	2	12	0.5498912	stim_12_B.png	stim_9_B.png
226.5	2.6009815	30	6	NoDelay	Pred	5	2	10	0.6009815	stim_7_B.png	stim_5_B.png
249	2.3172396	31	7	NoDelay	NonPred	8	1	15	0.3172396	stim_1_B.png	stim_10_B.png
253.5	2.5529065	32	7	NoDelay	NonPred	7	1	14	0.5529065	stim_11_B.png	stim_3_B.png
258	2.325499	33	7	NoDelay	NonPred	8	2	16	0.325499	stim_1_B.png	stim_8_B.png
262.5	2.4894406	34	7	NoDelay	NonPred	8	2	16	0.4894406	stim_1_B.png	stim_8_B.png
267	2.3573237	35	7	NoDelay	NonPred	7	2	14	0.3573237	stim_11_B.png	stim_3_B.png
289.5	2.4972814	36	8	NoDelay	Pred	6	1	11	0.4972814	stim_12_B.png	stim_2_B.png
294	2.4690959	37	8	NoDelay	Pred	5	2	10	0.4690959	stim_7_B.png	stim_5_B.png
298.5	2.3211295	38	8	NoDelay	Pred	6	2	12	0.3211295	stim_12_B.png	stim_9_B.png
303	2.261627	39	8	NoDelay	Pred	5	1	9	0.261627	stim_7_B.png	stim_4_B.png
307.5	2.3296173	40	8	NoDelay	Pred	6	1	11	0.3296173	stim_12_B.png	stim_2_B.png
