onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.07441182	1	1	NoDelay	Pred	6	2	12	0.07441182
10.5	2.285858	2	1	NoDelay	Pred	5	1	9	0.285858
15	2.4338081	3	1	NoDelay	Pred	6	2	12	0.4338081
19.5	2.1095078	4	1	NoDelay	Pred	6	1	11	0.1095078
24	2.001057803	5	1	NoDelay	Pred	6	2	12	0.001057803
46.5	2.3183093	6	2	NoDelay	NonPred	8	1	16	0.3183093
51	2.3147277	7	2	NoDelay	NonPred	8	1	15	0.3147277
55.5	2.3188239	8	2	NoDelay	NonPred	7	1	14	0.3188239
60	2.4830571	9	2	NoDelay	NonPred	8	2	15	0.4830571
64.5	2.5179868	10	2	NoDelay	NonPred	8	2	15	0.5179868
87	2.5558731	11	3	NoDelay	Pred	5	2	10	0.5558731
91.5	2.3749252	12	3	NoDelay	Pred	5	1	9	0.3749252
96	2.3310096	13	3	NoDelay	Pred	6	2	12	0.3310096
100.5	2.3990473	14	3	NoDelay	Pred	5	2	10	0.3990473
105	2.4344911	15	3	NoDelay	Pred	5	1	9	0.4344911
127.5	2.3034023	16	4	NoDelay	NonPred	8	2	15	0.3034023
132	2.339891	17	4	NoDelay	NonPred	8	1	15	0.339891
136.5	2.4959999	18	4	NoDelay	NonPred	8	2	16	0.4959999
141	2.3079593	19	4	NoDelay	NonPred	7	1	14	0.3079593
145.5	2.311788	20	4	NoDelay	NonPred	8	2	15	0.311788
168	2.3238913	21	5	NoDelay	Pred	6	2	11	0.3238913
172.5	2.3371565	22	5	NoDelay	Pred	6	1	11	0.3371565
177	2.2678344	23	5	NoDelay	Pred	6	2	12	0.2678344
181.5	2.6242509	24	5	NoDelay	Pred	5	2	10	0.6242509
186	2.4686415	25	5	NoDelay	Pred	6	2	12	0.4686415
208.5	2.7682638	26	6	NoDelay	NonPred	7	1	13	0.7682638
213	2.404568	27	6	NoDelay	NonPred	7	2	14	0.404568
217.5	2.4813615	28	6	NoDelay	NonPred	7	1	13	0.4813615
222	2.3325521	29	6	NoDelay	NonPred	7	2	14	0.3325521
226.5	2.3294783	30	6	NoDelay	NonPred	7	1	13	0.3294783
249	2.3258088	31	7	NoDelay	Pred	5	2	10	0.3258088
253.5	2.4252511	32	7	NoDelay	Pred	5	1	9	0.4252511
258	2.3411112	33	7	NoDelay	Pred	5	2	10	0.3411112
262.5	2.4099403	34	7	NoDelay	Pred	5	1	9	0.4099403
267	2.4462035	35	7	NoDelay	Pred	6	2	12	0.4462035
289.5	2.258002	36	8	NoDelay	NonPred	8	2	16	0.258002
294	2.3173996	37	8	NoDelay	NonPred	7	1	13	0.3173996
298.5	2.3208236	38	8	NoDelay	NonPred	8	2	15	0.3208236
303	2.350904	39	8	NoDelay	NonPred	7	2	13	0.350904
307.5	2.3462696	40	8	NoDelay	NonPred	7	1	14	0.3462696
