onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.5317147	1	1	Delay	NonPred	3	2	5	0.5317147
10.5	2.4018247	2	1	Delay	NonPred	3	2	5	0.4018247
15	2.2923186	3	1	Delay	NonPred	4	2	7	0.2923186
19.5	2.2730226	4	1	Delay	NonPred	3	1	6	0.2730226
24	2.3317441	5	1	Delay	NonPred	4	1	8	0.3317441
46.5	2.2884947	6	2	Delay	Pred	1	1	1	0.2884947
51	2.220134	7	2	Delay	Pred	1	2	2	0.220134
55.5	2.2975378	8	2	Delay	Pred	1	1	1	0.2975378
60	2.2778381	9	2	Delay	Pred	2	2	4	0.2778381
64.5	2.04004707	10	2	Delay	Pred	2	2	4	0.04004707
87	2.2839067	11	3	Delay	NonPred	4	1	7	0.2839067
91.5	2.3533148	12	3	Delay	NonPred	3	1	6	0.3533148
96	2.3163494	13	3	Delay	NonPred	4	2	8	0.3163494
100.5	2.3536853	14	3	Delay	NonPred	3	1	6	0.3536853
105	2.03790826	15	3	Delay	NonPred	3	1	6	0.03790826
127.5	2.2492541	16	4	Delay	Pred	1	2	2	0.2492541
132	2.396723	17	4	Delay	Pred	2	1	3	0.396723
136.5	2.2325328	18	4	Delay	Pred	1	1	1	0.2325328
141	2.06139518	19	4	Delay	Pred	2	1	3	0.06139518
145.5	2.2243271	20	4	Delay	Pred	1	2	2	0.2243271
168	2.3498053	21	5	Delay	NonPred	4	2	8	0.3498053
172.5	2.04866193	22	5	Delay	NonPred	4	1	7	0.04866193
177	2.2374149	23	5	Delay	NonPred	4	1	8	0.2374149
181.5	2.6177532	24	5	Delay	NonPred	4	2	8	0.6177532
186	2.8041559	25	5	Delay	NonPred	3	2	5	0.8041559
208.5	2.3519198	26	6	Delay	Pred	2	1	4	0.3519198
213	2.4360733	27	6	Delay	Pred	1	1	1	0.4360733
217.5	2.2160935	28	6	Delay	Pred	2	1	3	0.2160935
222	2.197056	29	6	Delay	Pred	1	2	2	0.197056
226.5	2.3055237	30	6	Delay	Pred	2	1	3	0.3055237
249	2.3566548	31	7	Delay	NonPred	3	2	5	0.3566548
253.5	2.3203677	32	7	Delay	NonPred	4	1	7	0.3203677
258	2.348261	33	7	Delay	NonPred	3	1	6	0.348261
262.5	2.2812663	34	7	Delay	NonPred	3	1	5	0.2812663
267	2.1080521	35	7	Delay	NonPred	4	1	7	0.1080521
289.5	2.4890281	36	8	Delay	Pred	2	1	3	0.4890281
294	2.4441487	37	8	Delay	Pred	1	2	2	0.4441487
298.5	2.5692809	38	8	Delay	Pred	2	1	3	0.5692809
303	2.1495481	39	8	Delay	Pred	1	2	2	0.1495481
307.5	2.3766182	40	8	Delay	Pred	2	2	4	0.3766182
