onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.4470658	1	1	Delay	NonPred	3	1	6	0.4470658
10.5	2.2979306	2	1	Delay	NonPred	4	1	7	0.2979306
15	2.5428387	3	1	Delay	NonPred	4	2	7	0.5428387
19.5	2.2980313	4	1	Delay	NonPred	3	2	6	0.2980313
24	2.3256487	5	1	Delay	NonPred	4	1	7	0.3256487
46.5	2.5791319	6	2	Delay	Pred	1	2	2	0.5791319
51	2.3351289	7	2	Delay	Pred	2	2	4	0.3351289
55.5	2.3379493	8	2	Delay	Pred	1	1	1	0.3379493
60	2.3815923	9	2	Delay	Pred	1	1	1	0.3815923
64.5	2.001786151	10	2	Delay	Pred	1	2	2	0.001786151
87	2.3190194	11	3	Delay	NonPred	3	1	5	0.3190194
91.5	2.433963	12	3	Delay	NonPred	4	2	8	0.433963
96	2.2790676	13	3	Delay	NonPred	3	1	6	0.2790676
100.5	2.2825723	14	3	Delay	NonPred	4	2	7	0.2825723
105	2.3345719	15	3	Delay	NonPred	3	1	6	0.3345719
127.5	2.3780479	16	4	Delay	Pred	2	2	4	0.3780479
132	2.3976162	17	4	Delay	Pred	2	1	3	0.3976162
136.5	2.4750766	18	4	Delay	Pred	2	2	4	0.4750766
141	2.5753603	19	4	Delay	Pred	2	2	4	0.5753603
145.5	2.3299722	20	4	Delay	Pred	1	1	1	0.3299722
168	2.4539557	21	5	Delay	NonPred	4	2	8	0.4539557
172.5	2.3466547	22	5	Delay	NonPred	4	1	8	0.3466547
177	2.4153495	23	5	Delay	NonPred	4	2	8	0.4153495
181.5	2.3054358	24	5	Delay	NonPred	3	1	5	0.3054358
186	2.3342447	25	5	Delay	NonPred	4	2	7	0.3342447
208.5	2.2897798	26	6	Delay	Pred	2	1	4	0.2897798
213	2.2793299	27	6	Delay	Pred	2	2	4	0.2793299
217.5	2.3629317	28	6	Delay	Pred	1	1	1	0.3629317
222	2.4460458	29	6	Delay	Pred	1	2	2	0.4460458
226.5	2.5542719	30	6	Delay	Pred	2	1	3	0.5542719
249	2.3505936	31	7	Delay	NonPred	3	2	5	0.3505936
253.5	2.4017791	32	7	Delay	NonPred	3	2	5	0.4017791
258	2.3115679	33	7	Delay	NonPred	3	1	6	0.3115679
262.5	2.2341425	34	7	Delay	NonPred	4	1	8	0.2341425
267	2.5494146	35	7	Delay	NonPred	3	1	5	0.5494146
289.5	2.2675737	36	8	Delay	Pred	2	2	4	0.2675737
294	2.3108832	37	8	Delay	Pred	1	2	2	0.3108832
298.5	2.2982972	38	8	Delay	Pred	1	1	1	0.2982972
303	2.2707836	39	8	Delay	Pred	2	2	4	0.2707836
307.5	2.6829201	40	8	Delay	Pred	1	2	2	0.6829201
