onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.6503009	1	1	NoDelay	Pred	5	2	10	0.6503009	stim_7_B.png	stim_10_B.png
10.5	2.6703316	2	1	NoDelay	Pred	6	1	12	0.6703316	stim_3_B.png	stim_9_B.png
15	2.3872178	3	1	NoDelay	Pred	6	1	11	0.3872178	stim_3_B.png	stim_11_B.png
19.5	2.3984802	4	1	NoDelay	Pred	5	1	9	0.3984802	stim_7_B.png	stim_6_B.png
24	2.3939993	5	1	NoDelay	Pred	5	2	10	0.3939993	stim_7_B.png	stim_10_B.png
46.5	2.7677474	6	2	NoDelay	NonPred	8	2	15	0.7677474	stim_5_B.png	stim_1_B.png
51	2.7952437	7	2	NoDelay	NonPred	7	2	14	0.7952437	stim_8_B.png	stim_4_B.png
55.5	2.4865545	8	2	NoDelay	NonPred	7	2	13	0.4865545	stim_8_B.png	stim_2_B.png
60	2.2267675	9	2	NoDelay	NonPred	8	1	16	0.2267675	stim_5_B.png	stim_12_B.png
64.5	2.3108331	10	2	NoDelay	NonPred	8	1	16	0.3108331	stim_5_B.png	stim_12_B.png
87	2.6269004	11	3	NoDelay	Pred	6	2	12	0.6269004	stim_3_B.png	stim_9_B.png
91.5	2.5353649	12	3	NoDelay	Pred	6	1	11	0.5353649	stim_3_B.png	stim_11_B.png
96	2.9295869	13	3	NoDelay	Pred	5	2	10	0.9295869	stim_7_B.png	stim_10_B.png
100.5	2.8303175	14	3	NoDelay	Pred	6	1	11	0.8303175	stim_3_B.png	stim_11_B.png
105	2.4348654	15	3	NoDelay	Pred	6	2	12	0.4348654	stim_3_B.png	stim_9_B.png
127.5	2.7347839	16	4	NoDelay	NonPred	7	1	14	0.7347839	stim_8_B.png	stim_4_B.png
132	3.330032	17	4	NoDelay	NonPred	8	2	16	1.330032	stim_5_B.png	stim_12_B.png
136.5	2.6786699	18	4	NoDelay	NonPred	8	2	15	0.6786699	stim_5_B.png	stim_1_B.png
141	2.4103913	19	4	NoDelay	NonPred	8	1	15	0.4103913	stim_5_B.png	stim_1_B.png
145.5	2.3827007	20	4	NoDelay	NonPred	7	2	13	0.3827007	stim_8_B.png	stim_2_B.png
168	2.611501	21	5	NoDelay	Pred	6	2	12	0.611501	stim_3_B.png	stim_9_B.png
172.5	2.5590749	22	5	NoDelay	Pred	6	1	11	0.5590749	stim_3_B.png	stim_11_B.png
177	2.6495436	23	5	NoDelay	Pred	6	2	12	0.6495436	stim_3_B.png	stim_9_B.png
181.5	2.7521396	24	5	NoDelay	Pred	5	1	9	0.7521396	stim_7_B.png	stim_6_B.png
186	2.2181969	25	5	NoDelay	Pred	5	2	10	0.2181969	stim_7_B.png	stim_10_B.png
208.5	2.6625338	26	6	NoDelay	NonPred	7	2	14	0.6625338	stim_8_B.png	stim_4_B.png
213	2.05753858	27	6	NoDelay	NonPred	7	1	14	0.05753858	stim_8_B.png	stim_4_B.png
217.5	2.5580498	28	6	NoDelay	NonPred	8	2	15	0.5580498	stim_5_B.png	stim_1_B.png
222	2.883797	29	6	NoDelay	NonPred	8	1	16	0.883797	stim_5_B.png	stim_12_B.png
226.5	2.6861952	30	6	NoDelay	NonPred	8	2	15	0.6861952	stim_5_B.png	stim_1_B.png
249	2.6505953	31	7	NoDelay	Pred	5	2	10	0.6505953	stim_7_B.png	stim_10_B.png
253.5	2.6561717	32	7	NoDelay	Pred	5	1	9	0.6561717	stim_7_B.png	stim_6_B.png
258	2.387095	33	7	NoDelay	Pred	6	2	12	0.387095	stim_3_B.png	stim_9_B.png
262.5	2.001773463	34	7	NoDelay	Pred	5	1	9	0.001773463	stim_7_B.png	stim_6_B.png
267	2.001694462	35	7	NoDelay	Pred	5	2	10	0.001694462	stim_7_B.png	stim_10_B.png
289.5	3.287531	36	8	NoDelay	NonPred	7	2	14	1.287531	stim_8_B.png	stim_4_B.png
294	2.8269674	37	8	NoDelay	NonPred	8	2	16	0.8269674	stim_5_B.png	stim_12_B.png
298.5	2.3901941	38	8	NoDelay	NonPred	7	1	13	0.3901941	stim_8_B.png	stim_2_B.png
303	2.3546098	39	8	NoDelay	NonPred	7	1	14	0.3546098	stim_8_B.png	stim_4_B.png
307.5	2.001740462	40	8	NoDelay	NonPred	7	1	13	0.001740462	stim_8_B.png	stim_2_B.png
