onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.6103006	1	1	Delay	Pred	2	2	4	0.6103006	stim_5_B.png	stim_4_B.png
10.5	2.3676029	2	1	Delay	Pred	2	1	4	0.3676029	stim_5_B.png	stim_4_B.png
15	2.3464509	3	1	Delay	Pred	1	2	2	0.3464509	stim_8_B.png	stim_3_B.png
19.5	2.3032562	4	1	Delay	Pred	1	1	1	0.3032562	stim_8_B.png	stim_12_B.png
24	2.4033605	5	1	Delay	Pred	2	1	3	0.4033605	stim_5_B.png	stim_9_B.png
46.5	2.3418877	6	2	Delay	NonPred	4	2	7	0.3418877	stim_2_B.png	stim_6_B.png
51	2.6749559	7	2	Delay	NonPred	4	1	7	0.6749559	stim_2_B.png	stim_6_B.png
55.5	2.3187476	8	2	Delay	NonPred	4	2	8	0.3187476	stim_2_B.png	stim_10_B.png
60	2.2914126	9	2	Delay	NonPred	3	1	5	0.2914126	stim_1_B.png	stim_7_B.png
64.5	2.2857979	10	2	Delay	NonPred	3	2	6	0.2857979	stim_1_B.png	stim_11_B.png
87	2.3054578	11	3	Delay	Pred	1	1	1	0.3054578	stim_8_B.png	stim_12_B.png
91.5	2.3357217	12	3	Delay	Pred	2	2	4	0.3357217	stim_5_B.png	stim_4_B.png
96	2.3228659	13	3	Delay	Pred	1	1	1	0.3228659	stim_8_B.png	stim_12_B.png
100.5	2.4797545	14	3	Delay	Pred	1	2	2	0.4797545	stim_8_B.png	stim_3_B.png
105	2.3855623	15	3	Delay	Pred	1	1	1	0.3855623	stim_8_B.png	stim_12_B.png
127.5	2.3275348	16	4	Delay	NonPred	4	2	7	0.3275348	stim_2_B.png	stim_6_B.png
132	2.587338	17	4	Delay	NonPred	3	1	6	0.587338	stim_1_B.png	stim_11_B.png
136.5	2.3100942	18	4	Delay	NonPred	3	2	6	0.3100942	stim_1_B.png	stim_11_B.png
141	2.2994654	19	4	Delay	NonPred	4	1	8	0.2994654	stim_2_B.png	stim_10_B.png
145.5	2.001718358	20	4	Delay	NonPred	3	2	5	0.001718358	stim_1_B.png	stim_7_B.png
168	2.3141323	21	5	Delay	Pred	1	1	1	0.3141323	stim_8_B.png	stim_12_B.png
172.5	2.3178223	22	5	Delay	Pred	2	2	4	0.3178223	stim_5_B.png	stim_4_B.png
177	2.3237974	23	5	Delay	Pred	2	1	3	0.3237974	stim_5_B.png	stim_9_B.png
181.5	2.3117396	24	5	Delay	Pred	1	2	2	0.3117396	stim_8_B.png	stim_3_B.png
186	2.6820137	25	5	Delay	Pred	2	2	4	0.6820137	stim_5_B.png	stim_4_B.png
208.5	2.1514313	26	6	Delay	NonPred	4	1	7	0.1514313	stim_2_B.png	stim_6_B.png
213	2.2104757	27	6	Delay	NonPred	3	2	5	0.2104757	stim_1_B.png	stim_7_B.png
217.5	2.3438671	28	6	Delay	NonPred	3	1	5	0.3438671	stim_1_B.png	stim_7_B.png
222	2.3621956	29	6	Delay	NonPred	4	2	8	0.3621956	stim_2_B.png	stim_10_B.png
226.5	2.2703068	30	6	Delay	NonPred	4	1	8	0.2703068	stim_2_B.png	stim_10_B.png
249	2.2670524	31	7	Delay	Pred	2	2	4	0.2670524	stim_5_B.png	stim_4_B.png
253.5	2.2948597	32	7	Delay	Pred	2	1	3	0.2948597	stim_5_B.png	stim_9_B.png
258	2.0103879	33	7	Delay	Pred	2	2	4	0.0103879	stim_5_B.png	stim_4_B.png
262.5	2.3262449	34	7	Delay	Pred	1	1	1	0.3262449	stim_8_B.png	stim_12_B.png
267	2.2818207	35	7	Delay	Pred	1	2	2	0.2818207	stim_8_B.png	stim_3_B.png
289.5	2.247507	36	8	Delay	NonPred	3	1	5	0.247507	stim_1_B.png	stim_7_B.png
294	2.3143792	37	8	Delay	NonPred	3	2	6	0.3143792	stim_1_B.png	stim_11_B.png
298.5	2.3198839	38	8	Delay	NonPred	4	1	7	0.3198839	stim_2_B.png	stim_6_B.png
303	2.4433776	39	8	Delay	NonPred	3	2	6	0.4433776	stim_1_B.png	stim_11_B.png
307.5	2.2698222	40	8	Delay	NonPred	4	1	8	0.2698222	stim_2_B.png	stim_10_B.png
