onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.6290879	1	1	NoDelay	NonPred	7	2	14	0.6290879
10.5	2.4885712	2	1	NoDelay	NonPred	8	1	15	0.4885712
15	2.2519751	3	1	NoDelay	NonPred	7	2	14	0.2519751
19.5	2.5447683	4	1	NoDelay	NonPred	8	1	15	0.5447683
24	2.03645714	5	1	NoDelay	NonPred	7	2	13	0.03645714
46.5	2.4092471	6	2	NoDelay	Pred	5	2	9	0.4092471
51	2.5420737	7	2	NoDelay	Pred	6	1	11	0.5420737
55.5	2.2638593	8	2	NoDelay	Pred	5	2	10	0.2638593
60	2.340541	9	2	NoDelay	Pred	5	1	9	0.340541
64.5	2.3132539	10	2	NoDelay	Pred	6	2	12	0.3132539
87	2.3580125	11	3	NoDelay	NonPred	8	2	15	0.3580125
91.5	2.7056622	12	3	NoDelay	NonPred	8	1	15	0.7056622
96	2.3894235	13	3	NoDelay	NonPred	8	2	16	0.3894235
100.5	2.4010642	14	3	NoDelay	NonPred	8	2	16	0.4010642
105	2.510363	15	3	NoDelay	NonPred	8	2	15	0.510363
127.5	2.4333645	16	4	NoDelay	Pred	6	1	11	0.4333645
132	2.5499753	17	4	NoDelay	Pred	5	2	10	0.5499753
136.5	2.3941978	18	4	NoDelay	Pred	6	1	11	0.3941978
141	2.7102355	19	4	NoDelay	Pred	6	2	12	0.7102355
145.5	2.6827929	20	4	NoDelay	Pred	5	1	9	0.6827929
168	2.3802916	21	5	NoDelay	NonPred	7	2	14	0.3802916
172.5	2.657892	22	5	NoDelay	NonPred	7	2	13	0.657892
177	2.3828828	23	5	NoDelay	NonPred	7	1	13	0.3828828
181.5	2.5943921	24	5	NoDelay	NonPred	7	1	14	0.5943921
186	2.3667678	25	5	NoDelay	NonPred	8	2	16	0.3667678
208.5	2.5713125	26	6	NoDelay	Pred	5	2	10	0.5713125
213	2.4319471	27	6	NoDelay	Pred	5	1	9	0.4319471
217.5	3.011948	28	6	NoDelay	Pred	6	2	12	1.011948
222	2.4310432	29	6	NoDelay	Pred	5	1	9	0.4310432
226.5	2.01685391	30	6	NoDelay	Pred	5	2	10	0.01685391
249	2.416248	31	7	NoDelay	NonPred	8	2	15	0.416248
253.5	2.4123978	32	7	NoDelay	NonPred	7	1	13	0.4123978
258	2.0312102	33	7	NoDelay	NonPred	7	2	14	0.0312102
262.5	2.5070808	34	7	NoDelay	NonPred	8	1	16	0.5070808
267	2.3041315	35	7	NoDelay	NonPred	7	2	13	0.3041315
289.5	2.7158985	36	8	NoDelay	Pred	6	2	12	0.7158985
294	2.6557353	37	8	NoDelay	Pred	5	1	9	0.6557353
298.5	2.04500889	38	8	NoDelay	Pred	6	2	12	0.04500889
303	2.1606765	39	8	NoDelay	Pred	6	2	12	0.1606765
307.5	2.7732692	40	8	NoDelay	Pred	6	1	11	0.7732692
