onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.9166707	1	1	NoDelay	NonPred	8	2	16	0.9166707	stim_4_B.png	stim_11_B.png
10.5	2.2744179	2	1	NoDelay	NonPred	8	1	16	0.2744179	stim_4_B.png	stim_11_B.png
15	2.000558485	3	1	NoDelay	NonPred	8	2	15	0.000558485	stim_4_B.png	stim_5_B.png
19.5	2.3601407	4	1	NoDelay	NonPred	7	1	14	0.3601407	stim_10_B.png	stim_1_B.png
24	2.1008045	5	1	NoDelay	NonPred	8	2	15	0.1008045	stim_4_B.png	stim_5_B.png
46.5	2.4330847	6	2	NoDelay	Pred	6	2	12	0.4330847	stim_3_B.png	stim_2_B.png
51	2.07772419	7	2	NoDelay	Pred	6	1	11	0.07772419	stim_3_B.png	stim_12_B.png
55.5	2.002029564	8	2	NoDelay	Pred	6	2	12	0.002029564	stim_3_B.png	stim_2_B.png
60	2.54831	9	2	NoDelay	Pred	5	1	9	0.54831	stim_6_B.png	stim_8_B.png
64.5	2.001808746	10	2	NoDelay	Pred	5	2	10	0.001808746	stim_6_B.png	stim_9_B.png
87	2.001709056	11	3	NoDelay	NonPred	7	2	13	0.001709056	stim_10_B.png	stim_7_B.png
91.5	2.001739109	12	3	NoDelay	NonPred	7	1	14	0.001739109	stim_10_B.png	stim_1_B.png
96	2.3405583	13	3	NoDelay	NonPred	8	2	16	0.3405583	stim_4_B.png	stim_11_B.png
100.5	2.001676208	14	3	NoDelay	NonPred	8	1	16	0.001676208	stim_4_B.png	stim_11_B.png
105	2.001721571	15	3	NoDelay	NonPred	7	2	13	0.001721571	stim_10_B.png	stim_7_B.png
127.5	2.1373346	16	4	NoDelay	Pred	5	2	10	0.1373346	stim_6_B.png	stim_9_B.png
132	2.2210563	17	4	NoDelay	Pred	6	2	12	0.2210563	stim_3_B.png	stim_2_B.png
136.5	2.4412373	18	4	NoDelay	Pred	5	1	9	0.4412373	stim_6_B.png	stim_8_B.png
141	2.00163108	19	4	NoDelay	Pred	6	2	12	0.00163108	stim_3_B.png	stim_2_B.png
145.5	2.4013143	20	4	NoDelay	Pred	5	1	9	0.4013143	stim_6_B.png	stim_8_B.png
168	2.002000092	21	5	NoDelay	NonPred	7	2	14	0.002000092	stim_10_B.png	stim_1_B.png
172.5	2.5451205	22	5	NoDelay	NonPred	7	1	13	0.5451205	stim_10_B.png	stim_7_B.png
177	2.140875	23	5	NoDelay	NonPred	7	2	13	0.140875	stim_10_B.png	stim_7_B.png
181.5	2.1780749	24	5	NoDelay	NonPred	8	1	16	0.1780749	stim_4_B.png	stim_11_B.png
186	2.0465732	25	5	NoDelay	NonPred	8	2	15	0.0465732	stim_4_B.png	stim_5_B.png
208.5	2.001932883	26	6	NoDelay	Pred	6	2	11	0.001932883	stim_3_B.png	stim_12_B.png
213	2.1728903	27	6	NoDelay	Pred	6	2	12	0.1728903	stim_3_B.png	stim_2_B.png
217.5	2.002008947	28	6	NoDelay	Pred	5	1	9	0.002008947	stim_6_B.png	stim_8_B.png
222	2.09450486	29	6	NoDelay	Pred	6	2	12	0.09450486	stim_3_B.png	stim_2_B.png
226.5	2.02668674	30	6	NoDelay	Pred	5	1	9	0.02668674	stim_6_B.png	stim_8_B.png
249	2.01333243	31	7	NoDelay	NonPred	7	2	14	0.01333243	stim_10_B.png	stim_1_B.png
253.5	2.009079723	32	7	NoDelay	NonPred	8	1	15	0.009079723	stim_4_B.png	stim_5_B.png
258	2.02223884	33	7	NoDelay	NonPred	7	2	14	0.02223884	stim_10_B.png	stim_1_B.png
262.5	2.5683331	34	7	NoDelay	NonPred	7	2	14	0.5683331	stim_10_B.png	stim_1_B.png
267	2.4377573	35	7	NoDelay	NonPred	8	1	15	0.4377573	stim_4_B.png	stim_5_B.png
289.5	2.04106038	36	8	NoDelay	Pred	5	2	10	0.04106038	stim_6_B.png	stim_9_B.png
294	2.001836233	37	8	NoDelay	Pred	5	1	9	0.001836233	stim_6_B.png	stim_8_B.png
298.5	2.001931062	38	8	NoDelay	Pred	6	2	12	0.001931062	stim_3_B.png	stim_2_B.png
303	2.001995504	39	8	NoDelay	Pred	5	2	10	0.001995504	stim_6_B.png	stim_9_B.png
307.5	2.08909526	40	8	NoDelay	Pred	6	1	11	0.08909526	stim_3_B.png	stim_12_B.png
