onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.001743208	1	1	NoDelay	Pred	6	2	12	0.001743208	stim_3_B.png	stim_2_B.png
10.5	2.03458309	2	1	NoDelay	Pred	6	1	11	0.03458309	stim_3_B.png	stim_12_B.png
15	2.001676887	3	1	NoDelay	Pred	5	2	10	0.001676887	stim_6_B.png	stim_9_B.png
19.5	2.001927399	4	1	NoDelay	Pred	6	1	11	0.001927399	stim_3_B.png	stim_12_B.png
24	2.04788687	5	1	NoDelay	Pred	5	2	10	0.04788687	stim_6_B.png	stim_9_B.png
46.5	2.001865602	6	2	NoDelay	NonPred	8	1	16	0.001865602	stim_4_B.png	stim_11_B.png
51	2.001702206	7	2	NoDelay	NonPred	7	2	13	0.001702206	stim_10_B.png	stim_7_B.png
55.5	2.001769855	8	2	NoDelay	NonPred	8	1	15	0.001769855	stim_4_B.png	stim_5_B.png
60	2.00176838	9	2	NoDelay	NonPred	8	2	15	0.00176838	stim_4_B.png	stim_5_B.png
64.5	2.001968563	10	2	NoDelay	NonPred	8	2	16	0.001968563	stim_4_B.png	stim_11_B.png
87	2.001615081	11	3	NoDelay	Pred	6	2	12	0.001615081	stim_3_B.png	stim_2_B.png
91.5	2.05759161	12	3	NoDelay	Pred	5	1	10	0.05759161	stim_6_B.png	stim_9_B.png
96	2.001712057	13	3	NoDelay	Pred	5	2	10	0.001712057	stim_6_B.png	stim_9_B.png
100.5	2.001771683	14	3	NoDelay	Pred	5	1	9	0.001771683	stim_6_B.png	stim_8_B.png
105	2.001611493	15	3	NoDelay	Pred	6	2	12	0.001611493	stim_3_B.png	stim_2_B.png
127.5	2.5869677	16	4	NoDelay	NonPred	7	1	13	0.5869677	stim_10_B.png	stim_7_B.png
132	2.1499484	17	4	NoDelay	NonPred	8	2	15	0.1499484	stim_4_B.png	stim_5_B.png
136.5	2.2340278	18	4	NoDelay	NonPred	8	1	16	0.2340278	stim_4_B.png	stim_11_B.png
141	2.2236035	19	4	NoDelay	NonPred	7	2	13	0.2236035	stim_10_B.png	stim_7_B.png
145.5	2.2432676	20	4	NoDelay	NonPred	8	1	16	0.2432676	stim_4_B.png	stim_11_B.png
168	2.001710883	21	5	NoDelay	Pred	5	2	10	0.001710883	stim_6_B.png	stim_9_B.png
172.5	2.4812354	22	5	NoDelay	Pred	5	1	9	0.4812354	stim_6_B.png	stim_8_B.png
177	2.001728308	23	5	NoDelay	Pred	6	2	12	0.001728308	stim_3_B.png	stim_2_B.png
181.5	2.001780574	24	5	NoDelay	Pred	5	1	9	0.001780574	stim_6_B.png	stim_8_B.png
186	2.4134135	25	5	NoDelay	Pred	6	2	12	0.4134135	stim_3_B.png	stim_2_B.png
208.5	2.4342304	26	6	NoDelay	NonPred	7	1	14	0.4342304	stim_10_B.png	stim_1_B.png
213	2.2151465	27	6	NoDelay	NonPred	7	2	14	0.2151465	stim_10_B.png	stim_1_B.png
217.5	2.0423575	28	6	NoDelay	NonPred	7	2	14	0.0423575	stim_10_B.png	stim_1_B.png
222	2.03127355	29	6	NoDelay	NonPred	7	1	13	0.03127355	stim_10_B.png	stim_7_B.png
226.5	2.001693086	30	6	NoDelay	NonPred	8	2	15	0.001693086	stim_4_B.png	stim_5_B.png
249	2.001768991	31	7	NoDelay	Pred	5	2	10	0.001768991	stim_6_B.png	stim_9_B.png
253.5	2.06728547	32	7	NoDelay	Pred	6	1	11	0.06728547	stim_3_B.png	stim_12_B.png
258	2.001715307	33	7	NoDelay	Pred	5	2	10	0.001715307	stim_6_B.png	stim_9_B.png
262.5	2.2835325	34	7	NoDelay	Pred	6	2	12	0.2835325	stim_3_B.png	stim_2_B.png
267	2.00195463	35	7	NoDelay	Pred	6	1	11	0.00195463	stim_3_B.png	stim_12_B.png
289.5	2.1073231	36	8	NoDelay	NonPred	7	2	14	0.1073231	stim_10_B.png	stim_1_B.png
294	2.3670803	37	8	NoDelay	NonPred	8	2	16	0.3670803	stim_4_B.png	stim_11_B.png
298.5	2.3714901	38	8	NoDelay	NonPred	7	1	13	0.3714901	stim_10_B.png	stim_7_B.png
303	2.4717864	39	8	NoDelay	NonPred	8	2	15	0.4717864	stim_4_B.png	stim_5_B.png
307.5	2.3474836	40	8	NoDelay	NonPred	7	1	14	0.3474836	stim_10_B.png	stim_1_B.png
