onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.001716092	1	1	Delay	Pred	2	2	4	0.001716092
10.5	2.1139321	2	1	Delay	Pred	1	1	1	0.1139321
15	2.001773187	3	1	Delay	Pred	2	2	4	0.001773187
19.5	2.6510596	4	1	Delay	Pred	2	1	3	0.6510596
24	2.4231407	5	1	Delay	Pred	1	1	1	0.4231407
46.5	2.001762187	6	2	Delay	NonPred	3	2	6	0.001762187
51	2.001869958	7	2	Delay	NonPred	4	1	7	0.001869958
55.5	2.001912559	8	2	Delay	NonPred	3	2	6	0.001912559
60	2.5668387	9	2	Delay	NonPred	3	1	6	0.5668387
64.5	2.1785733	10	2	Delay	NonPred	3	2	6	0.1785733
87	2.001858132	11	3	Delay	Pred	2	2	4	0.001858132
91.5	2.2989791	12	3	Delay	Pred	1	1	1	0.2989791
96	2.001726286	13	3	Delay	Pred	2	1	3	0.001726286
100.5	2.466671	14	3	Delay	Pred	1	2	2	0.466671
105	2.2146304	15	3	Delay	Pred	1	1	2	0.2146304
127.5	2.001822091	16	4	Delay	NonPred	3	2	5	0.001822091
132	2.9815555	17	4	Delay	NonPred	4	1	7	0.9815555
136.5	2.6023503	18	4	Delay	NonPred	3	2	5	0.6023503
141	2.000609802	19	4	Delay	NonPred	4	1	8	0.000609802
145.5	2.6013988	20	4	Delay	NonPred	4	2	8	0.6013988
168	2.1663122	21	5	Delay	Pred	1	1	1	0.1663122
172.5	2.4018753	22	5	Delay	Pred	1	2	2	0.4018753
177	2.001724127	23	5	Delay	Pred	1	2	2	0.001724127
181.5	2.4753013	24	5	Delay	Pred	2	1	3	0.4753013
186	2.001875743	25	5	Delay	Pred	2	2	4	0.001875743
208.5	2.001982202	26	6	Delay	NonPred	4	2	8	0.001982202
213	2.001673377	27	6	Delay	NonPred	4	1	8	0.001673377
217.5	2.1637438	28	6	Delay	NonPred	4	2	7	0.1637438
222	2.7436849	29	6	Delay	NonPred	3	1	5	0.7436849
226.5	2.4189619	30	6	Delay	NonPred	4	2	8	0.4189619
249	2.00177769	31	7	Delay	Pred	2	2	4	0.00177769
253.5	2.1238897	32	7	Delay	Pred	1	1	1	0.1238897
258	2.3590989	33	7	Delay	Pred	2	2	4	0.3590989
262.5	2.001907906	34	7	Delay	Pred	1	1	1	0.001907906
267	2.001637112	35	7	Delay	Pred	2	2	4	0.001637112
289.5	2.001911232	36	8	Delay	NonPred	4	2	7	0.001911232
294	2.001728773	37	8	Delay	NonPred	3	1	5	0.001728773
298.5	3.498589	38	8	Delay	NonPred	3	2	6	1.498589
303	2.6710289	39	8	Delay	NonPred	3	1	5	0.6710289
307.5	2.001715634	40	8	Delay	NonPred	4	2	7	0.001715634
