onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.617458	1	1	Delay	Pred	1	2	2	0.617458
10.5	2.334043	2	1	Delay	Pred	2	2	4	0.334043
15	2.001757688	3	1	Delay	Pred	1	2	2	0.001757688
19.5	2.2849711	4	1	Delay	Pred	2	1	3	0.2849711
24	2.1920174	5	1	Delay	Pred	1	1	1	0.1920174
46.5	2.948742	6	2	Delay	NonPred	3	2	5	0.948742
51	2.2798219	7	2	Delay	NonPred	4	2	7	0.2798219
55.5	2.07763128	8	2	Delay	NonPred	4	1	8	0.07763128
60	2.001913949	9	2	Delay	NonPred	3	2	6	0.001913949
64.5	2.1816269	10	2	Delay	NonPred	4	1	8	0.1816269
87	2.001717338	11	3	Delay	Pred	2	2	4	0.001717338
91.5	2.2859527	12	3	Delay	Pred	1	1	1	0.2859527
96	2.001834256	13	3	Delay	Pred	2	2	4	0.001834256
100.5	2.4287056	14	3	Delay	Pred	2	1	3	0.4287056
105	2.6566822	15	3	Delay	Pred	2	2	4	0.6566822
127.5	2.7172231	16	4	Delay	NonPred	4	2	7	0.7172231
132	2.4972135	17	4	Delay	NonPred	3	2	5	0.4972135
136.5	3.213451	18	4	Delay	NonPred	4	1	8	1.213451
141	2.5690044	19	4	Delay	NonPred	3	2	6	0.5690044
145.5	2.6699358	20	4	Delay	NonPred	4	2	7	0.6699358
168	2.03292019	21	5	Delay	Pred	1	2	2	0.03292019
172.5	2.2216001	22	5	Delay	Pred	2	1	4	0.2216001
177	2.4721635	23	5	Delay	Pred	2	2	4	0.4721635
181.5	2.000626443	24	5	Delay	Pred	2	1	3	0.000626443
186	2.001863574	25	5	Delay	Pred	1	2	2	0.001863574
208.5	2.766131	26	6	Delay	NonPred	3	2	5	0.766131
213	2.399957	27	6	Delay	NonPred	3	2	5	0.399957
217.5	2.001895835	28	6	Delay	NonPred	4	2	7	0.001895835
222	2.08067763	29	6	Delay	NonPred	4	1	7	0.08067763
226.5	2.3581946	30	6	Delay	NonPred	3	2	5	0.3581946
249	2.001776818	31	7	Delay	Pred	1	2	2	0.001776818
253.5	2.1583182	32	7	Delay	Pred	2	1	3	0.1583182
258	2.1623755	33	7	Delay	Pred	1	1	1	0.1623755
262.5	2.4772991	34	7	Delay	Pred	1	1	1	0.4772991
267	2.001940629	35	7	Delay	Pred	1	2	2	0.001940629
289.5	2.001714199	36	8	Delay	NonPred	3	2	6	0.001714199
294	3.37794	37	8	Delay	NonPred	4	2	8	1.37794
298.5	2.002013099	38	8	Delay	NonPred	4	2	8	0.002013099
303	2.361166	39	8	Delay	NonPred	3	1	6	0.361166
307.5	2.1968695	40	8	Delay	NonPred	3	2	6	0.1968695
