onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.7861416	1	1	NoDelay	NonPred	8	2	15	0.7861416
10.5	2.5823959	2	1	NoDelay	NonPred	8	1	16	0.5823959
15	2.273753	3	1	NoDelay	NonPred	7	2	13	0.273753
19.5	2.5181483	4	1	NoDelay	NonPred	7	1	14	0.5181483
24	2.5379195	5	1	NoDelay	NonPred	8	2	15	0.5379195
46.5	2.5664256	6	2	NoDelay	Pred	6	1	11	0.5664256
51	2.5550296	7	2	NoDelay	Pred	6	2	12	0.5550296
55.5	2.4141262	8	2	NoDelay	Pred	5	1	9	0.4141262
60	2.5062746	9	2	NoDelay	Pred	6	2	12	0.5062746
64.5	2.000936592	10	2	NoDelay	Pred	6	2	12	0.000936592
87	3.026648	11	3	NoDelay	NonPred	8	1	16	1.026648
91.5	2	12	3	NoDelay	NonPred	8	0	0	n/a
96	2.2918055	13	3	NoDelay	NonPred	7	2	13	0.2918055
100.5	2.8415883	14	3	NoDelay	NonPred	7	2	14	0.8415883
105	2	15	3	NoDelay	NonPred	7	0	0	n/a
127.5	2.4719057	16	4	NoDelay	Pred	5	1	9	0.4719057
132	2.5237587	17	4	NoDelay	Pred	6	2	12	0.5237587
136.5	2.3994667	18	4	NoDelay	Pred	5	1	9	0.3994667
141	2.4119148	19	4	NoDelay	Pred	5	2	10	0.4119148
145.5	2.3924819	20	4	NoDelay	Pred	5	1	9	0.3924819
168	2.4123335	21	5	NoDelay	NonPred	7	2	13	0.4123335
172.5	2.7763106	22	5	NoDelay	NonPred	7	2	13	0.7763106
177	2.564677	23	5	NoDelay	NonPred	7	1	13	0.564677
181.5	2.3357301	24	5	NoDelay	NonPred	7	2	14	0.3357301
186	2.4925029	25	5	NoDelay	NonPred	8	1	15	0.4925029
208.5	2.3367352	26	6	NoDelay	Pred	6	2	12	0.3367352
213	2.4452153	27	6	NoDelay	Pred	5	1	9	0.4452153
217.5	2.2331655	28	6	NoDelay	Pred	5	2	10	0.2331655
222	2.1005393	29	6	NoDelay	Pred	6	1	11	0.1005393
226.5	2.6168228	30	6	NoDelay	Pred	5	2	10	0.6168228
249	2.34153	31	7	NoDelay	NonPred	8	1	15	0.34153
253.5	2.5853691	32	7	NoDelay	NonPred	8	2	16	0.5853691
258	2	33	7	NoDelay	NonPred	7	0	0	n/a
262.5	2.4098043	34	7	NoDelay	NonPred	8	1	16	0.4098043
267	2.5333365	35	7	NoDelay	NonPred	8	2	16	0.5333365
289.5	2	36	8	NoDelay	Pred	6	0	0	n/a
294	2.00087188	37	8	NoDelay	Pred	6	2	12	0.00087188
298.5	2.02571764	38	8	NoDelay	Pred	5	1	9	0.02571764
303	2.2698695	39	8	NoDelay	Pred	5	1	9	0.2698695
307.5	2.4099079	40	8	NoDelay	Pred	6	2	12	0.4099079
