onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.3617236	1	1	Delay	Pred	2	2	4	0.3617236	stim_10_A.png	stim_4_A.png
10.5	2.2451193	2	1	Delay	Pred	1	2	2	0.2451193	stim_6_A.png	stim_3_A.png
15	2.07311808	3	1	Delay	Pred	2	1	4	0.07311808	stim_10_A.png	stim_4_A.png
19.5	2.03740466	4	1	Delay	Pred	2	1	3	0.03740466	stim_10_A.png	stim_7_A.png
24	2.000695552	5	1	Delay	Pred	1	1	1	0.000695552	stim_6_A.png	stim_5_A.png
46.5	2.4134917	6	2	Delay	NonPred	3	2	6	0.4134917	stim_9_A.png	stim_2_A.png
51	2.3690628	7	2	Delay	NonPred	3	2	5	0.3690628	stim_9_A.png	stim_11_A.png
55.5	2.5	8	2	Delay	NonPred	4	0	0	n/a	stim_1_A.png	n/a
60	2.2821196	9	2	Delay	NonPred	4	1	8	0.2821196	stim_1_A.png	stim_8_A.png
64.5	2.2738948	10	2	Delay	NonPred	4	2	8	0.2738948	stim_1_A.png	stim_8_A.png
87	2.4421194	11	3	Delay	Pred	2	1	3	0.4421194	stim_10_A.png	stim_7_A.png
91.5	2.5023606	12	3	Delay	Pred	2	2	4	0.5023606	stim_10_A.png	stim_4_A.png
96	2.1059735	13	3	Delay	Pred	2	2	4	0.1059735	stim_10_A.png	stim_4_A.png
100.5	2.3180651	14	3	Delay	Pred	2	1	3	0.3180651	stim_10_A.png	stim_7_A.png
105	2.02734319	15	3	Delay	Pred	1	1	1	0.02734319	stim_6_A.png	stim_5_A.png
127.5	2.4548968	16	4	Delay	NonPred	4	2	8	0.4548968	stim_1_A.png	stim_8_A.png
132	2.4592236	17	4	Delay	NonPred	3	1	6	0.4592236	stim_9_A.png	stim_2_A.png
136.5	2.1584489	18	4	Delay	NonPred	3	2	6	0.1584489	stim_9_A.png	stim_2_A.png
141	2.1557509	19	4	Delay	NonPred	3	1	6	0.1557509	stim_9_A.png	stim_2_A.png
145.5	2.2784086	20	4	Delay	NonPred	3	1	5	0.2784086	stim_9_A.png	stim_11_A.png
168	2.5717726	21	5	Delay	Pred	2	2	4	0.5717726	stim_10_A.png	stim_4_A.png
172.5	2.000261751	22	5	Delay	Pred	1	2	2	0.000261751	stim_6_A.png	stim_3_A.png
177	3.42644	23	5	Delay	Pred	1	1	1	1.42644	stim_6_A.png	stim_5_A.png
181.5	2.3505586	24	5	Delay	Pred	2	2	4	0.3505586	stim_10_A.png	stim_4_A.png
186	2.5078638	25	5	Delay	Pred	1	1	1	0.5078638	stim_6_A.png	stim_5_A.png
208.5	3.296885	26	6	Delay	NonPred	3	2	5	1.296885	stim_9_A.png	stim_11_A.png
213	2.3316686	27	6	Delay	NonPred	3	2	5	0.3316686	stim_9_A.png	stim_11_A.png
217.5	2.2724975	28	6	Delay	NonPred	3	1	5	0.2724975	stim_9_A.png	stim_11_A.png
222	2.268562	29	6	Delay	NonPred	4	2	7	0.268562	stim_1_A.png	stim_12_A.png
226.5	2.4324377	30	6	Delay	NonPred	4	1	8	0.4324377	stim_1_A.png	stim_8_A.png
249	2.000247524	31	7	Delay	Pred	1	2	2	0.000247524	stim_6_A.png	stim_3_A.png
253.5	2.2568694	32	7	Delay	Pred	1	1	1	0.2568694	stim_6_A.png	stim_5_A.png
258	2.348637	33	7	Delay	Pred	2	2	4	0.348637	stim_10_A.png	stim_4_A.png
262.5	2.1361166	34	7	Delay	Pred	1	1	1	0.1361166	stim_6_A.png	stim_5_A.png
267	2.2601143	35	7	Delay	Pred	1	1	1	0.2601143	stim_6_A.png	stim_5_A.png
289.5	2.4488235	36	8	Delay	NonPred	4	2	7	0.4488235	stim_1_A.png	stim_12_A.png
294	2.3413118	37	8	Delay	NonPred	4	2	7	0.3413118	stim_1_A.png	stim_12_A.png
298.5	2.4243616	38	8	Delay	NonPred	4	2	7	0.4243616	stim_1_A.png	stim_12_A.png
303	2.2537487	39	8	Delay	NonPred	4	1	8	0.2537487	stim_1_A.png	stim_8_A.png
307.5	2.298171	40	8	Delay	NonPred	3	1	6	0.298171	stim_9_A.png	stim_2_A.png
