onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.4721418	1	1	NoDelay	NonPred	8	2	16	0.4721418	stim_12_B.png	stim_10_B.png
10.5	2.000345382	2	1	NoDelay	NonPred	8	1	16	0.000345382	stim_12_B.png	stim_10_B.png
15	2.000316827	3	1	NoDelay	NonPred	8	2	16	0.000316827	stim_12_B.png	stim_10_B.png
19.5	2.28359	4	1	NoDelay	NonPred	8	1	15	0.28359	stim_12_B.png	stim_4_B.png
24	2.3594504	5	1	NoDelay	NonPred	7	2	13	0.3594504	stim_11_B.png	stim_7_B.png
46.5	2.3244358	6	2	NoDelay	Pred	6	2	12	0.3244358	stim_6_B.png	stim_2_B.png
51	2.1840484	7	2	NoDelay	Pred	6	2	12	0.1840484	stim_6_B.png	stim_2_B.png
55.5	2.000249215	8	2	NoDelay	Pred	6	1	11	0.000249215	stim_6_B.png	stim_9_B.png
60	2.3528443	9	2	NoDelay	Pred	5	1	9	0.3528443	stim_3_B.png	stim_1_B.png
64.5	2.4754364	10	2	NoDelay	Pred	5	1	9	0.4754364	stim_3_B.png	stim_1_B.png
87	2.3372016	11	3	NoDelay	NonPred	7	2	13	0.3372016	stim_11_B.png	stim_7_B.png
91.5	2.5237409	12	3	NoDelay	NonPred	7	1	14	0.5237409	stim_11_B.png	stim_5_B.png
96	2.3357072	13	3	NoDelay	NonPred	8	2	16	0.3357072	stim_12_B.png	stim_10_B.png
100.5	2.8448472	14	3	NoDelay	NonPred	7	1	13	0.8448472	stim_11_B.png	stim_7_B.png
105	2.9933778	15	3	NoDelay	NonPred	7	2	14	0.9933778	stim_11_B.png	stim_5_B.png
127.5	2.2758021	16	4	NoDelay	Pred	6	1	12	0.2758021	stim_6_B.png	stim_2_B.png
132	2.000270831	17	4	NoDelay	Pred	5	2	10	0.000270831	stim_3_B.png	stim_8_B.png
136.5	2.000247791	18	4	NoDelay	Pred	6	1	11	0.000247791	stim_6_B.png	stim_9_B.png
141	2.000251646	19	4	NoDelay	Pred	6	1	11	0.000251646	stim_6_B.png	stim_9_B.png
145.5	2.1570998	20	4	NoDelay	Pred	6	1	11	0.1570998	stim_6_B.png	stim_9_B.png
168	2.4246134	21	5	NoDelay	NonPred	7	2	13	0.4246134	stim_11_B.png	stim_7_B.png
172.5	2.4215751	22	5	NoDelay	NonPred	7	1	13	0.4215751	stim_11_B.png	stim_7_B.png
177	2.8728504	23	5	NoDelay	NonPred	7	1	14	0.8728504	stim_11_B.png	stim_5_B.png
181.5	2.2848169	24	5	NoDelay	NonPred	7	2	14	0.2848169	stim_11_B.png	stim_5_B.png
186	2.4644163	25	5	NoDelay	NonPred	8	1	15	0.4644163	stim_12_B.png	stim_4_B.png
208.5	2.4939479	26	6	NoDelay	Pred	6	2	12	0.4939479	stim_6_B.png	stim_2_B.png
213	2.0178911	27	6	NoDelay	Pred	5	1	9	0.0178911	stim_3_B.png	stim_1_B.png
217.5	2.4061774	28	6	NoDelay	Pred	5	1	9	0.4061774	stim_3_B.png	stim_1_B.png
222	2.3067704	29	6	NoDelay	Pred	5	2	10	0.3067704	stim_3_B.png	stim_8_B.png
226.5	2.3340034	30	6	NoDelay	Pred	6	1	11	0.3340034	stim_6_B.png	stim_9_B.png
249	2.267208	31	7	NoDelay	NonPred	8	2	15	0.267208	stim_12_B.png	stim_4_B.png
253.5	2.3184068	32	7	NoDelay	NonPred	8	1	15	0.3184068	stim_12_B.png	stim_4_B.png
258	2.000252243	33	7	NoDelay	NonPred	8	2	16	0.000252243	stim_12_B.png	stim_10_B.png
262.5	2.2788344	34	7	NoDelay	NonPred	8	1	15	0.2788344	stim_12_B.png	stim_4_B.png
267	2.2592508	35	7	NoDelay	NonPred	7	2	14	0.2592508	stim_11_B.png	stim_5_B.png
289.5	2.7668924	36	8	NoDelay	Pred	5	1	9	0.7668924	stim_3_B.png	stim_1_B.png
294	2.7545684	37	8	NoDelay	Pred	5	2	10	0.7545684	stim_3_B.png	stim_8_B.png
298.5	2.4698526	38	8	NoDelay	Pred	5	1	9	0.4698526	stim_3_B.png	stim_1_B.png
303	2.2993943	39	8	NoDelay	Pred	6	2	12	0.2993943	stim_6_B.png	stim_2_B.png
307.5	2.2231011	40	8	NoDelay	Pred	5	1	9	0.2231011	stim_3_B.png	stim_1_B.png
