onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	3.014458	1	1	Delay	Pred	2	2	4	1.014458	stim_5_A.png	stim_3_A.png
10.5	2.2110136	2	1	Delay	Pred	1	1	1	0.2110136	stim_6_A.png	stim_8_A.png
15	2.000361666	3	1	Delay	Pred	1	2	2	0.000361666	stim_6_A.png	stim_4_A.png
19.5	2.000284797	4	1	Delay	Pred	2	1	3	0.000284797	stim_5_A.png	stim_9_A.png
24	2.000246023	5	1	Delay	Pred	1	2	2	0.000246023	stim_6_A.png	stim_4_A.png
46.5	2.7959018	6	2	Delay	NonPred	3	1	6	0.7959018	stim_1_A.png	stim_2_A.png
51	2.2483696	7	2	Delay	NonPred	3	2	5	0.2483696	stim_1_A.png	stim_12_A.png
55.5	2.003838974	8	2	Delay	NonPred	4	2	7	0.003838974	stim_11_A.png	stim_7_A.png
60	2.2715721	9	2	Delay	NonPred	3	1	6	0.2715721	stim_1_A.png	stim_2_A.png
64.5	2.6443219	10	2	Delay	NonPred	4	2	8	0.6443219	stim_11_A.png	stim_10_A.png
87	2.3034901	11	3	Delay	Pred	1	1	2	0.3034901	stim_6_A.png	stim_4_A.png
91.5	2.000283596	12	3	Delay	Pred	2	2	4	0.000283596	stim_5_A.png	stim_3_A.png
96	2.1684707	13	3	Delay	Pred	2	1	3	0.1684707	stim_5_A.png	stim_9_A.png
100.5	2.1234791	14	3	Delay	Pred	1	2	2	0.1234791	stim_6_A.png	stim_4_A.png
105	2.4720566	15	3	Delay	Pred	2	1	3	0.4720566	stim_5_A.png	stim_9_A.png
127.5	2.2914586	16	4	Delay	NonPred	4	2	8	0.2914586	stim_11_A.png	stim_10_A.png
132	2.240053	17	4	Delay	NonPred	3	2	6	0.240053	stim_1_A.png	stim_2_A.png
136.5	2.000278357	18	4	Delay	NonPred	3	1	6	0.000278357	stim_1_A.png	stim_2_A.png
141	2.000248756	19	4	Delay	NonPred	4	1	7	0.000248756	stim_11_A.png	stim_7_A.png
145.5	2.000357982	20	4	Delay	NonPred	3	2	5	0.000357982	stim_1_A.png	stim_12_A.png
168	2.8168729	21	5	Delay	Pred	1	1	1	0.8168729	stim_6_A.png	stim_8_A.png
172.5	2.1093054	22	5	Delay	Pred	1	2	2	0.1093054	stim_6_A.png	stim_4_A.png
177	2.5	23	5	Delay	Pred	2	0	0	n/a	stim_5_A.png	n/a
181.5	2.000267027	24	5	Delay	Pred	2	1	3	0.000267027	stim_5_A.png	stim_9_A.png
186	2.09000732	25	5	Delay	Pred	2	2	4	0.09000732	stim_5_A.png	stim_3_A.png
208.5	2.3647883	26	6	Delay	NonPred	3	1	6	0.3647883	stim_1_A.png	stim_2_A.png
213	2.2492124	27	6	Delay	NonPred	3	2	5	0.2492124	stim_1_A.png	stim_12_A.png
217.5	2.000273596	28	6	Delay	NonPred	4	1	7	0.000273596	stim_11_A.png	stim_7_A.png
222	2.000259181	29	6	Delay	NonPred	4	2	7	0.000259181	stim_11_A.png	stim_7_A.png
226.5	2.3489232	30	6	Delay	NonPred	4	1	7	0.3489232	stim_11_A.png	stim_7_A.png
249	2.5212817	31	7	Delay	Pred	2	2	4	0.5212817	stim_5_A.png	stim_3_A.png
253.5	2.413917	32	7	Delay	Pred	1	1	1	0.413917	stim_6_A.png	stim_8_A.png
258	2.06571085	33	7	Delay	Pred	1	2	2	0.06571085	stim_6_A.png	stim_4_A.png
262.5	2.000278268	34	7	Delay	Pred	1	1	1	0.000278268	stim_6_A.png	stim_8_A.png
267	2.000250913	35	7	Delay	Pred	2	2	4	0.000250913	stim_5_A.png	stim_3_A.png
289.5	2.2936137	36	8	Delay	NonPred	3	1	5	0.2936137	stim_1_A.png	stim_12_A.png
294	2.2832945	37	8	Delay	NonPred	3	2	5	0.2832945	stim_1_A.png	stim_12_A.png
298.5	2.2707532	38	8	Delay	NonPred	4	1	8	0.2707532	stim_11_A.png	stim_10_A.png
303	2.000248486	39	8	Delay	NonPred	4	2	8	0.000248486	stim_11_A.png	stim_10_A.png
307.5	2.000270582	40	8	Delay	NonPred	4	1	8	0.000270582	stim_11_A.png	stim_10_A.png
