onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.6236205	1	1	NoDelay	NonPred	7	2	14	0.6236205
10.5	2.2674456	2	1	NoDelay	NonPred	7	1	13	0.2674456
15	2.4385555	3	1	NoDelay	NonPred	8	2	15	0.4385555
19.5	2.4123463	4	1	NoDelay	NonPred	8	1	15	0.4123463
24	2.3514681	5	1	NoDelay	NonPred	8	2	16	0.3514681
46.5	2.396953	6	2	NoDelay	Pred	6	1	11	0.396953
51	2.3280712	7	2	NoDelay	Pred	5	2	10	0.3280712
55.5	2.3330695	8	2	NoDelay	Pred	5	1	9	0.3330695
60	2.2489597	9	2	NoDelay	Pred	6	2	12	0.2489597
64.5	2.3492231	10	2	NoDelay	Pred	6	1	11	0.3492231
87	2.503737	11	3	NoDelay	NonPred	7	2	14	0.503737
91.5	2.4050201	12	3	NoDelay	NonPred	7	1	14	0.4050201
96	2.3912379	13	3	NoDelay	NonPred	7	2	13	0.3912379
100.5	2.3892096	14	3	NoDelay	NonPred	7	1	14	0.3892096
105	2.3762507	15	3	NoDelay	NonPred	8	2	16	0.3762507
127.5	2.3244476	16	4	NoDelay	Pred	5	2	10	0.3244476
132	2.4416253	17	4	NoDelay	Pred	5	1	10	0.4416253
136.5	2.3009508	18	4	NoDelay	Pred	6	2	12	0.3009508
141	2.168814	19	4	NoDelay	Pred	6	1	11	0.168814
145.5	2.478262	20	4	NoDelay	Pred	5	2	10	0.478262
168	2.4811593	21	5	NoDelay	NonPred	8	2	15	0.4811593
172.5	2.8464973	22	5	NoDelay	NonPred	8	2	15	0.8464973
177	2.4501613	23	5	NoDelay	NonPred	7	1	13	0.4501613
181.5	2.5584031	24	5	NoDelay	NonPred	8	2	16	0.5584031
186	2.3212291	25	5	NoDelay	NonPred	8	1	15	0.3212291
208.5	2.3021093	26	6	NoDelay	Pred	6	2	12	0.3021093
213	2.3375933	27	6	NoDelay	Pred	6	1	11	0.3375933
217.5	2.08596226	28	6	NoDelay	Pred	6	2	12	0.08596226
222	2.5859523	29	6	NoDelay	Pred	5	1	9	0.5859523
226.5	2.6377475	30	6	NoDelay	Pred	5	2	10	0.6377475
249	2.3943365	31	7	NoDelay	NonPred	7	1	13	0.3943365
253.5	2.3181435	32	7	NoDelay	NonPred	8	2	16	0.3181435
258	2.1553608	33	7	NoDelay	NonPred	7	1	14	0.1553608
262.5	2.2463312	34	7	NoDelay	NonPred	7	2	13	0.2463312
267	2.2430833	35	7	NoDelay	NonPred	8	1	16	0.2430833
289.5	2.4636593	36	8	NoDelay	Pred	5	1	9	0.4636593
294	2.2991993	37	8	NoDelay	Pred	6	2	12	0.2991993
298.5	2.1907938	38	8	NoDelay	Pred	6	1	11	0.1907938
303	2.2597887	39	8	NoDelay	Pred	5	2	10	0.2597887
307.5	2.000250804	40	8	NoDelay	Pred	5	1	9	0.000250804
