onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.6686087	1	1	NoDelay	NonPred	8	1	15	0.6686087
10.5	2.7598793	2	1	NoDelay	NonPred	7	2	14	0.7598793
15	2.3880661	3	1	NoDelay	NonPred	8	1	15	0.3880661
19.5	2.4249587	4	1	NoDelay	NonPred	8	2	16	0.4249587
24	2.4680315	5	1	NoDelay	NonPred	7	1	13	0.4680315
46.5	2.3927704	6	2	NoDelay	Pred	5	1	9	0.3927704
51	2.3955842	7	2	NoDelay	Pred	6	2	12	0.3955842
55.5	2.7116454	8	2	NoDelay	Pred	6	2	12	0.7116454
60	2.4995614	9	2	NoDelay	Pred	6	1	11	0.4995614
64.5	2.3683699	10	2	NoDelay	Pred	5	1	9	0.3683699
87	2	11	3	NoDelay	NonPred	8	0	0	n/a
91.5	2.3119337	12	3	NoDelay	NonPred	7	2	13	0.3119337
96	2.379026	13	3	NoDelay	NonPred	8	1	15	0.379026
100.5	2.3669153	14	3	NoDelay	NonPred	7	2	13	0.3669153
105	2.3318088	15	3	NoDelay	NonPred	8	1	16	0.3318088
127.5	2.4153737	16	4	NoDelay	Pred	5	2	9	0.4153737
132	2.3619802	17	4	NoDelay	Pred	5	2	10	0.3619802
136.5	2.3264351	18	4	NoDelay	Pred	5	1	9	0.3264351
141	2.8503034	19	4	NoDelay	Pred	6	1	11	0.8503034
145.5	2.414529	20	4	NoDelay	Pred	5	2	10	0.414529
168	2.4429	21	5	NoDelay	NonPred	7	1	13	0.4429
172.5	2.4776344	22	5	NoDelay	NonPred	8	2	16	0.4776344
177	2.553384	23	5	NoDelay	NonPred	7	2	13	0.553384
181.5	2.4216605	24	5	NoDelay	NonPred	8	1	15	0.4216605
186	2.849819	25	5	NoDelay	NonPred	7	2	14	0.849819
208.5	2.7016384	26	6	NoDelay	Pred	6	1	11	0.7016384
213	2.3849193	27	6	NoDelay	Pred	6	2	12	0.3849193
217.5	2.4292326	28	6	NoDelay	Pred	5	1	9	0.4292326
222	2.3536052	29	6	NoDelay	Pred	5	2	10	0.3536052
226.5	2.3651802	30	6	NoDelay	Pred	6	1	11	0.3651802
249	2.4012122	31	7	NoDelay	NonPred	8	1	16	0.4012122
253.5	2.4044937	32	7	NoDelay	NonPred	8	2	16	0.4044937
258	2.496134	33	7	NoDelay	NonPred	7	2	14	0.496134
262.5	2.37211	34	7	NoDelay	NonPred	7	1	14	0.37211
267	2.736011	35	7	NoDelay	NonPred	7	2	14	0.736011
289.5	2.3318089	36	8	NoDelay	Pred	5	1	9	0.3318089
294	2.3599734	37	8	NoDelay	Pred	6	2	12	0.3599734
298.5	2.4601266	38	8	NoDelay	Pred	5	1	9	0.4601266
303	2.3999871	39	8	NoDelay	Pred	6	2	12	0.3999871
307.5	2.3474287	40	8	NoDelay	Pred	6	1	11	0.3474287
