onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.385034	1	1	Delay	Pred	1	2	2	0.385034
10.5	2.2853757	2	1	Delay	Pred	2	1	3	0.2853757
15	2.3523993	3	1	Delay	Pred	1	2	2	0.3523993
19.5	2.3245157	4	1	Delay	Pred	2	1	3	0.3245157
24	2.1940143	5	1	Delay	Pred	1	2	2	0.1940143
46.5	2.7016652	6	2	Delay	NonPred	3	1	5	0.7016652
51	2.328458	7	2	Delay	NonPred	3	1	5	0.328458
55.5	2.3089495	8	2	Delay	NonPred	4	1	7	0.3089495
60	2.2740817	9	2	Delay	NonPred	4	2	8	0.2740817
64.5	2.4216133	10	2	Delay	NonPred	3	1	6	0.4216133
87	2.897419	11	3	Delay	Pred	2	2	4	0.897419
91.5	2.4122187	12	3	Delay	Pred	2	1	3	0.4122187
96	2.1128104	13	3	Delay	Pred	1	2	2	0.1128104
100.5	2.03641981	14	3	Delay	Pred	2	1	3	0.03641981
105	2.2817025	15	3	Delay	Pred	2	2	4	0.2817025
127.5	2.3086231	16	4	Delay	NonPred	3	1	6	0.3086231
132	2.2731028	17	4	Delay	NonPred	3	2	6	0.2731028
136.5	3.484279	18	4	Delay	NonPred	4	1	8	1.484279
141	2.2894388	19	4	Delay	NonPred	3	1	5	0.2894388
145.5	2.2786639	20	4	Delay	NonPred	4	2	7	0.2786639
168	2.4019048	21	5	Delay	Pred	1	1	2	0.4019048
172.5	2.7662101	22	5	Delay	Pred	1	2	2	0.7662101
177	2.5205193	23	5	Delay	Pred	1	2	2	0.5205193
181.5	2.6452831	24	5	Delay	Pred	1	2	2	0.6452831
186	2.609474	25	5	Delay	Pred	2	2	4	0.609474
208.5	2	26	6	Delay	NonPred	3	0	0	n/a
213	2.6484777	27	6	Delay	NonPred	4	1	7	0.6484777
217.5	2.2842053	28	6	Delay	NonPred	4	1	8	0.2842053
222	2.361556	29	6	Delay	NonPred	3	1	5	0.361556
226.5	2.2125305	30	6	Delay	NonPred	4	1	7	0.2125305
249	2.2884401	31	7	Delay	Pred	1	2	2	0.2884401
253.5	2.001665104	32	7	Delay	Pred	1	1	1	0.001665104
258	2.4084973	33	7	Delay	Pred	2	1	3	0.4084973
262.5	2.2869	34	7	Delay	Pred	2	1	3	0.2869
267	2.344254	35	7	Delay	Pred	2	2	4	0.344254
289.5	2.3498423	36	8	Delay	NonPred	4	1	8	0.3498423
294	2.5698072	37	8	Delay	NonPred	3	1	5	0.5698072
298.5	2.396375	38	8	Delay	NonPred	4	2	8	0.396375
303	2.3301931	39	8	Delay	NonPred	3	1	6	0.3301931
307.5	2.2935952	40	8	Delay	NonPred	4	1	7	0.2935952
