onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.1754252	1	1	NoDelay	Pred	6	2	12	0.1754252
10.5	2.9805971	2	1	NoDelay	Pred	5	1	9	0.9805971
15	2.255939	3	1	NoDelay	Pred	6	1	11	0.255939
19.5	2.9321856	4	1	NoDelay	Pred	5	2	10	0.9321856
24	2.1520528	5	1	NoDelay	Pred	6	1	11	0.1520528
46.5	3.243356	6	2	NoDelay	NonPred	8	2	15	1.243356
51	2.5774997	7	2	NoDelay	NonPred	8	1	16	0.5774997
55.5	2.9738038	8	2	NoDelay	NonPred	7	2	14	0.9738038
60	3.360026	9	2	NoDelay	NonPred	8	2	16	1.360026
64.5	3.380736	10	2	NoDelay	NonPred	7	2	14	1.380736
87	2.6482757	11	3	NoDelay	Pred	5	1	10	0.6482757
91.5	2.4216938	12	3	NoDelay	Pred	6	1	11	0.4216938
96	2.7140125	13	3	NoDelay	Pred	5	2	10	0.7140125
100.5	2.7500216	14	3	NoDelay	Pred	5	1	9	0.7500216
105	2.8568229	15	3	NoDelay	Pred	5	1	9	0.8568229
127.5	2.8615505	16	4	NoDelay	NonPred	7	2	14	0.8615505
132	3.34621	17	4	NoDelay	NonPred	8	2	15	1.34621
136.5	2.3496055	18	4	NoDelay	NonPred	8	1	16	0.3496055
141	2.4670297	19	4	NoDelay	NonPred	8	2	15	0.4670297
145.5	2.6143857	20	4	NoDelay	NonPred	7	1	13	0.6143857
168	3.225781	21	5	NoDelay	Pred	5	2	10	1.225781
172.5	2.1110693	22	5	NoDelay	Pred	5	1	9	0.1110693
177	2.000739772	23	5	NoDelay	Pred	6	2	12	0.000739772
181.5	2.941737	24	5	NoDelay	Pred	6	1	11	0.941737
186	2	25	5	NoDelay	Pred	5	0	0	n/a
208.5	2.6950618	26	6	NoDelay	NonPred	7	2	13	0.6950618
213	2.3469874	27	6	NoDelay	NonPred	8	1	16	0.3469874
217.5	2.6861509	28	6	NoDelay	NonPred	7	2	14	0.6861509
222	2.5957984	29	6	NoDelay	NonPred	7	1	13	0.5957984
226.5	2	30	6	NoDelay	NonPred	8	0	0	n/a
249	2.03652164	31	7	NoDelay	Pred	6	2	12	0.03652164
253.5	3.215589	32	7	NoDelay	Pred	6	1	11	1.215589
258	2.7238114	33	7	NoDelay	Pred	5	1	9	0.7238114
262.5	2.2156674	34	7	NoDelay	Pred	6	2	12	0.2156674
267	2.08403726	35	7	NoDelay	Pred	6	1	11	0.08403726
289.5	2.4166137	36	8	NoDelay	NonPred	7	2	13	0.4166137
294	2.6681066	37	8	NoDelay	NonPred	7	1	14	0.6681066
298.5	2.4794819	38	8	NoDelay	NonPred	7	1	13	0.4794819
303	2.45151	39	8	NoDelay	NonPred	8	1	15	0.45151
307.5	3.008435	40	8	NoDelay	NonPred	8	2	16	1.008435
