onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.5773316	1	1	Delay	NonPred	3	2	5	0.5773316	stim_3_A.png	stim_9_A.png
10.5	2.7178732	2	1	Delay	NonPred	3	1	6	0.7178732	stim_3_A.png	stim_1_A.png
15	2.5144741	3	1	Delay	NonPred	4	2	8	0.5144741	stim_5_A.png	stim_12_A.png
19.5	2.3585491	4	1	Delay	NonPred	4	1	7	0.3585491	stim_5_A.png	stim_6_A.png
24	2.4349753	5	1	Delay	NonPred	4	2	7	0.4349753	stim_5_A.png	stim_6_A.png
46.5	2.3659529	6	2	Delay	Pred	1	1	1	0.3659529	stim_4_A.png	stim_11_A.png
51	2.5141436	7	2	Delay	Pred	2	2	4	0.5141436	stim_7_A.png	stim_8_A.png
55.5	2.4709996	8	2	Delay	Pred	2	1	3	0.4709996	stim_7_A.png	stim_2_A.png
60	2.3712259	9	2	Delay	Pred	2	2	4	0.3712259	stim_7_A.png	stim_8_A.png
64.5	2.4473419	10	2	Delay	Pred	1	1	1	0.4473419	stim_4_A.png	stim_11_A.png
87	2.6511052	11	3	Delay	NonPred	4	2	8	0.6511052	stim_5_A.png	stim_12_A.png
91.5	2.447166	12	3	Delay	NonPred	4	1	7	0.447166	stim_5_A.png	stim_6_A.png
96	2.001395913	13	3	Delay	NonPred	3	2	5	0.001395913	stim_3_A.png	stim_9_A.png
100.5	2.5273415	14	3	Delay	NonPred	4	1	7	0.5273415	stim_5_A.png	stim_6_A.png
105	2.3874143	15	3	Delay	NonPred	4	2	7	0.3874143	stim_5_A.png	stim_6_A.png
127.5	2.4399783	16	4	Delay	Pred	2	2	4	0.4399783	stim_7_A.png	stim_8_A.png
132	2.6201427	17	4	Delay	Pred	1	1	1	0.6201427	stim_4_A.png	stim_11_A.png
136.5	2.5676615	18	4	Delay	Pred	1	2	2	0.5676615	stim_4_A.png	stim_10_A.png
141	2.5241156	19	4	Delay	Pred	2	1	3	0.5241156	stim_7_A.png	stim_2_A.png
145.5	3.280321	20	4	Delay	Pred	1	2	2	1.280321	stim_4_A.png	stim_10_A.png
168	2.620496	21	5	Delay	NonPred	4	1	8	0.620496	stim_5_A.png	stim_12_A.png
172.5	2.480136	22	5	Delay	NonPred	3	2	6	0.480136	stim_3_A.png	stim_1_A.png
177	2.3726796	23	5	Delay	NonPred	4	1	8	0.3726796	stim_5_A.png	stim_12_A.png
181.5	2.7450152	24	5	Delay	NonPred	3	2	5	0.7450152	stim_3_A.png	stim_9_A.png
186	2.8201726	25	5	Delay	NonPred	4	1	8	0.8201726	stim_5_A.png	stim_12_A.png
208.5	2.6486535	26	6	Delay	Pred	2	1	4	0.6486535	stim_7_A.png	stim_8_A.png
213	2.7098887	27	6	Delay	Pred	1	2	2	0.7098887	stim_4_A.png	stim_10_A.png
217.5	2.384872	28	6	Delay	Pred	2	1	3	0.384872	stim_7_A.png	stim_2_A.png
222	2.7329789	29	6	Delay	Pred	1	2	2	0.7329789	stim_4_A.png	stim_10_A.png
226.5	3.288742	30	6	Delay	Pred	2	1	3	1.288742	stim_7_A.png	stim_2_A.png
249	2.4136889	31	7	Delay	NonPred	3	1	5	0.4136889	stim_3_A.png	stim_9_A.png
253.5	2.4419128	32	7	Delay	NonPred	3	2	5	0.4419128	stim_3_A.png	stim_9_A.png
258	2.4225704	33	7	Delay	NonPred	3	1	6	0.4225704	stim_3_A.png	stim_1_A.png
262.5	2.5536751	34	7	Delay	NonPred	3	2	6	0.5536751	stim_3_A.png	stim_1_A.png
267	2.4535538	35	7	Delay	NonPred	3	1	6	0.4535538	stim_3_A.png	stim_1_A.png
289.5	2.5709764	36	8	Delay	Pred	2	2	4	0.5709764	stim_7_A.png	stim_8_A.png
294	2.4710625	37	8	Delay	Pred	2	1	3	0.4710625	stim_7_A.png	stim_2_A.png
298.5	2.7229832	38	8	Delay	Pred	1	2	2	0.7229832	stim_4_A.png	stim_10_A.png
303	2.6382551	39	8	Delay	Pred	1	1	1	0.6382551	stim_4_A.png	stim_11_A.png
307.5	2.5	40	8	Delay	Pred	1	0	0	n/a	stim_4_A.png	n/a
