onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.3761018	1	1	NoDelay	Pred	5	1	9	0.3761018	stim_10_A.png	stim_6_A.png
10.5	2.1795105	2	1	NoDelay	Pred	6	2	12	0.1795105	stim_12_A.png	stim_2_A.png
15	2.2721024	3	1	NoDelay	Pred	5	1	9	0.2721024	stim_10_A.png	stim_6_A.png
19.5	2.07437643	4	1	NoDelay	Pred	6	1	11	0.07437643	stim_12_A.png	stim_7_A.png
24	2.2240748	5	1	NoDelay	Pred	5	2	10	0.2240748	stim_10_A.png	stim_9_A.png
46.5	2.642899	6	2	NoDelay	NonPred	8	1	15	0.642899	stim_3_A.png	stim_11_A.png
51	2.01487054	7	2	NoDelay	NonPred	8	1	16	0.01487054	stim_3_A.png	stim_8_A.png
55.5	2.09039317	8	2	NoDelay	NonPred	7	1	13	0.09039317	stim_4_A.png	stim_1_A.png
60	2.4559529	9	2	NoDelay	NonPred	7	1	13	0.4559529	stim_4_A.png	stim_1_A.png
64.5	2.3871833	10	2	NoDelay	NonPred	8	2	16	0.3871833	stim_3_A.png	stim_8_A.png
87	2.3756446	11	3	NoDelay	Pred	5	1	9	0.3756446	stim_10_A.png	stim_6_A.png
91.5	2.1544345	12	3	NoDelay	Pred	6	2	12	0.1544345	stim_12_A.png	stim_2_A.png
96	2.74417	13	3	NoDelay	Pred	5	1	9	0.74417	stim_10_A.png	stim_6_A.png
100.5	2.091797	14	3	NoDelay	Pred	5	1	9	0.091797	stim_10_A.png	stim_6_A.png
105	2.32639	15	3	NoDelay	Pred	6	1	11	0.32639	stim_12_A.png	stim_7_A.png
127.5	2.2107583	16	4	NoDelay	NonPred	8	1	15	0.2107583	stim_3_A.png	stim_11_A.png
132	2.2225089	17	4	NoDelay	NonPred	8	1	15	0.2225089	stim_3_A.png	stim_11_A.png
136.5	2.5	18	4	NoDelay	NonPred	7	0	0	n/a	stim_4_A.png	n/a
141	2.06439193	19	4	NoDelay	NonPred	7	1	13	0.06439193	stim_4_A.png	stim_1_A.png
145.5	2.001827493	20	4	NoDelay	NonPred	7	2	14	0.001827493	stim_4_A.png	stim_5_A.png
168	2.2724171	21	5	NoDelay	Pred	6	1	11	0.2724171	stim_12_A.png	stim_7_A.png
172.5	2.140192	22	5	NoDelay	Pred	6	2	12	0.140192	stim_12_A.png	stim_2_A.png
177	2.06297649	23	5	NoDelay	Pred	5	1	9	0.06297649	stim_10_A.png	stim_6_A.png
181.5	2.2602548	24	5	NoDelay	Pred	5	2	10	0.2602548	stim_10_A.png	stim_9_A.png
186	2.07935236	25	5	NoDelay	Pred	6	1	11	0.07935236	stim_12_A.png	stim_7_A.png
208.5	2.2362194	26	6	NoDelay	NonPred	7	1	13	0.2362194	stim_4_A.png	stim_1_A.png
213	2.5115417	27	6	NoDelay	NonPred	7	1	14	0.5115417	stim_4_A.png	stim_5_A.png
217.5	2.1878795	28	6	NoDelay	NonPred	8	2	15	0.1878795	stim_3_A.png	stim_11_A.png
222	2.001831893	29	6	NoDelay	NonPred	7	1	14	0.001831893	stim_4_A.png	stim_5_A.png
226.5	2.01987379	30	6	NoDelay	NonPred	8	1	16	0.01987379	stim_3_A.png	stim_8_A.png
249	2.3681356	31	7	NoDelay	Pred	6	1	11	0.3681356	stim_12_A.png	stim_7_A.png
253.5	2.2266064	32	7	NoDelay	Pred	5	1	10	0.2266064	stim_10_A.png	stim_9_A.png
258	2.001915714	33	7	NoDelay	Pred	5	2	10	0.001915714	stim_10_A.png	stim_9_A.png
262.5	2.3486194	34	7	NoDelay	Pred	6	2	12	0.3486194	stim_12_A.png	stim_2_A.png
267	2.07917974	35	7	NoDelay	Pred	6	1	11	0.07917974	stim_12_A.png	stim_7_A.png
289.5	2.235215	36	8	NoDelay	NonPred	7	1	14	0.235215	stim_4_A.png	stim_5_A.png
294	2.5050163	37	8	NoDelay	NonPred	8	2	16	0.5050163	stim_3_A.png	stim_8_A.png
298.5	2.7564942	38	8	NoDelay	NonPred	7	1	14	0.7564942	stim_4_A.png	stim_5_A.png
303	2.3290939	39	8	NoDelay	NonPred	8	1	15	0.3290939	stim_3_A.png	stim_11_A.png
307.5	2.08277086	40	8	NoDelay	NonPred	8	1	16	0.08277086	stim_3_A.png	stim_8_A.png
