onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.7800431	1	1	Delay	Pred	1	1	1	0.7800431	stim_7_B.png	stim_4_B.png
10.5	2.5036756	2	1	Delay	Pred	2	2	4	0.5036756	stim_12_B.png	stim_9_B.png
15	2.1167786	3	1	Delay	Pred	2	1	3	0.1167786	stim_12_B.png	stim_2_B.png
19.5	2.1286703	4	1	Delay	Pred	2	2	4	0.1286703	stim_12_B.png	stim_9_B.png
24	2.3245343	5	1	Delay	Pred	2	1	3	0.3245343	stim_12_B.png	stim_2_B.png
46.5	2.08785086	6	2	Delay	NonPred	3	1	6	0.08785086	stim_11_B.png	stim_3_B.png
51	2.1797026	7	2	Delay	NonPred	4	1	8	0.1797026	stim_1_B.png	stim_8_B.png
55.5	2.001779293	8	2	Delay	NonPred	3	2	5	0.001779293	stim_11_B.png	stim_6_B.png
60	2.1805954	9	2	Delay	NonPred	3	1	6	0.1805954	stim_11_B.png	stim_3_B.png
64.5	3.047234	10	2	Delay	NonPred	4	2	7	1.047234	stim_1_B.png	stim_10_B.png
87	2.291295	11	3	Delay	Pred	1	1	1	0.291295	stim_7_B.png	stim_4_B.png
91.5	2.3209059	12	3	Delay	Pred	1	2	2	0.3209059	stim_7_B.png	stim_5_B.png
96	2.5648469	13	3	Delay	Pred	1	1	2	0.5648469	stim_7_B.png	stim_5_B.png
100.5	2.2393131	14	3	Delay	Pred	2	1	3	0.2393131	stim_12_B.png	stim_2_B.png
105	2.2355462	15	3	Delay	Pred	1	1	1	0.2355462	stim_7_B.png	stim_4_B.png
127.5	2.20876	16	4	Delay	NonPred	4	2	7	0.20876	stim_1_B.png	stim_10_B.png
132	2.4125119	17	4	Delay	NonPred	3	2	5	0.4125119	stim_11_B.png	stim_6_B.png
136.5	2.04814705	18	4	Delay	NonPred	4	2	8	0.04814705	stim_1_B.png	stim_8_B.png
141	2.1079997	19	4	Delay	NonPred	3	1	6	0.1079997	stim_11_B.png	stim_3_B.png
145.5	2.07933978	20	4	Delay	NonPred	4	1	7	0.07933978	stim_1_B.png	stim_10_B.png
168	2.3392565	21	5	Delay	Pred	1	1	1	0.3392565	stim_7_B.png	stim_4_B.png
172.5	2.4644097	22	5	Delay	Pred	1	2	2	0.4644097	stim_7_B.png	stim_5_B.png
177	2.3409081	23	5	Delay	Pred	1	1	1	0.3409081	stim_7_B.png	stim_4_B.png
181.5	2.001954893	24	5	Delay	Pred	2	1	3	0.001954893	stim_12_B.png	stim_2_B.png
186	2.2848889	25	5	Delay	Pred	2	1	3	0.2848889	stim_12_B.png	stim_2_B.png
208.5	2.3931516	26	6	Delay	NonPred	3	1	6	0.3931516	stim_11_B.png	stim_3_B.png
213	2.4198345	27	6	Delay	NonPred	4	2	8	0.4198345	stim_1_B.png	stim_8_B.png
217.5	2.1048434	28	6	Delay	NonPred	3	2	5	0.1048434	stim_11_B.png	stim_6_B.png
222	2.5237677	29	6	Delay	NonPred	4	2	8	0.5237677	stim_1_B.png	stim_8_B.png
226.5	2.04821495	30	6	Delay	NonPred	3	2	5	0.04821495	stim_11_B.png	stim_6_B.png
249	2.1331076	31	7	Delay	Pred	2	1	3	0.1331076	stim_12_B.png	stim_2_B.png
253.5	2.1194389	32	7	Delay	Pred	1	1	1	0.1194389	stim_7_B.png	stim_4_B.png
258	3.476288	33	7	Delay	Pred	2	2	4	1.476288	stim_12_B.png	stim_9_B.png
262.5	2.145666	34	7	Delay	Pred	1	1	1	0.145666	stim_7_B.png	stim_4_B.png
267	2.01158117	35	7	Delay	Pred	2	1	3	0.01158117	stim_12_B.png	stim_2_B.png
289.5	2.1041008	36	8	Delay	NonPred	3	1	6	0.1041008	stim_11_B.png	stim_3_B.png
294	2.5633758	37	8	Delay	NonPred	4	2	8	0.5633758	stim_1_B.png	stim_8_B.png
298.5	2.07987933	38	8	Delay	NonPred	4	2	7	0.07987933	stim_1_B.png	stim_10_B.png
303	2.1972681	39	8	Delay	NonPred	4	1	7	0.1972681	stim_1_B.png	stim_10_B.png
307.5	2.3613609	40	8	Delay	NonPred	3	1	5	0.3613609	stim_11_B.png	stim_6_B.png
