onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.9166707	1	1	NoDelay	NonPred	8	2	16	0.9166707
10.5	2.2744179	2	1	NoDelay	NonPred	8	1	16	0.2744179
15	2.000558485	3	1	NoDelay	NonPred	8	2	15	0.000558485
19.5	2.3601407	4	1	NoDelay	NonPred	7	1	14	0.3601407
24	2.1008045	5	1	NoDelay	NonPred	8	2	15	0.1008045
46.5	2.4330847	6	2	NoDelay	Pred	6	2	12	0.4330847
51	2.07772419	7	2	NoDelay	Pred	6	1	11	0.07772419
55.5	2.002029564	8	2	NoDelay	Pred	6	2	12	0.002029564
60	2.54831	9	2	NoDelay	Pred	5	1	9	0.54831
64.5	2.001808746	10	2	NoDelay	Pred	5	2	10	0.001808746
87	2.001709056	11	3	NoDelay	NonPred	7	2	13	0.001709056
91.5	2.001739109	12	3	NoDelay	NonPred	7	1	14	0.001739109
96	2.3405583	13	3	NoDelay	NonPred	8	2	16	0.3405583
100.5	2.001676208	14	3	NoDelay	NonPred	8	1	16	0.001676208
105	2.001721571	15	3	NoDelay	NonPred	7	2	13	0.001721571
127.5	2.1373346	16	4	NoDelay	Pred	5	2	10	0.1373346
132	2.2210563	17	4	NoDelay	Pred	6	2	12	0.2210563
136.5	2.4412373	18	4	NoDelay	Pred	5	1	9	0.4412373
141	2.00163108	19	4	NoDelay	Pred	6	2	12	0.00163108
145.5	2.4013143	20	4	NoDelay	Pred	5	1	9	0.4013143
168	2.002000092	21	5	NoDelay	NonPred	7	2	14	0.002000092
172.5	2.5451205	22	5	NoDelay	NonPred	7	1	13	0.5451205
177	2.140875	23	5	NoDelay	NonPred	7	2	13	0.140875
181.5	2.1780749	24	5	NoDelay	NonPred	8	1	16	0.1780749
186	2.0465732	25	5	NoDelay	NonPred	8	2	15	0.0465732
208.5	2.001932883	26	6	NoDelay	Pred	6	2	11	0.001932883
213	2.1728903	27	6	NoDelay	Pred	6	2	12	0.1728903
217.5	2.002008947	28	6	NoDelay	Pred	5	1	9	0.002008947
222	2.09450486	29	6	NoDelay	Pred	6	2	12	0.09450486
226.5	2.02668674	30	6	NoDelay	Pred	5	1	9	0.02668674
249	2.01333243	31	7	NoDelay	NonPred	7	2	14	0.01333243
253.5	2.009079723	32	7	NoDelay	NonPred	8	1	15	0.009079723
258	2.02223884	33	7	NoDelay	NonPred	7	2	14	0.02223884
262.5	2.5683331	34	7	NoDelay	NonPred	7	2	14	0.5683331
267	2.4377573	35	7	NoDelay	NonPred	8	1	15	0.4377573
289.5	2.04106038	36	8	NoDelay	Pred	5	2	10	0.04106038
294	2.001836233	37	8	NoDelay	Pred	5	1	9	0.001836233
298.5	2.001931062	38	8	NoDelay	Pred	6	2	12	0.001931062
303	2.001995504	39	8	NoDelay	Pred	5	2	10	0.001995504
307.5	2.08909526	40	8	NoDelay	Pred	6	1	11	0.08909526
