onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.3126685	1	1	Delay	NonPred	3	2	6	0.3126685
10.5	2.3392263	2	1	Delay	NonPred	4	2	7	0.3392263
15	2.3280241	3	1	Delay	NonPred	3	1	5	0.3280241
19.5	2.764397	4	1	Delay	NonPred	3	1	5	0.764397
24	2.3127456	5	1	Delay	NonPred	3	1	6	0.3127456
46.5	2.316738	6	2	Delay	Pred	1	1	1	0.316738
51	2.8484065	7	2	Delay	Pred	1	2	2	0.8484065
55.5	2.08473342	8	2	Delay	Pred	1	2	2	0.08473342
60	2.001134857	9	2	Delay	Pred	2	2	4	0.001134857
64.5	2.4449159	10	2	Delay	Pred	1	2	2	0.4449159
87	2.9694917	11	3	Delay	NonPred	4	1	8	0.9694917
91.5	2.9403407	12	3	Delay	NonPred	4	1	8	0.9403407
96	2.6021438	13	3	Delay	NonPred	3	2	6	0.6021438
100.5	2.2694262	14	3	Delay	NonPred	4	2	8	0.2694262
105	2	15	3	Delay	NonPred	3	0	0	n/a
127.5	2.4543317	16	4	Delay	Pred	2	1	3	0.4543317
132	2.4730015	17	4	Delay	Pred	2	2	4	0.4730015
136.5	2.1008313	18	4	Delay	Pred	2	1	3	0.1008313
141	2.3699243	19	4	Delay	Pred	2	2	4	0.3699243
145.5	2.1179759	20	4	Delay	Pred	2	2	4	0.1179759
168	2.3702459	21	5	Delay	NonPred	4	1	7	0.3702459
172.5	2.534675	22	5	Delay	NonPred	3	1	5	0.534675
177	2.6586527	23	5	Delay	NonPred	3	1	5	0.6586527
181.5	2.6463896	24	5	Delay	NonPred	4	1	7	0.6463896
186	2.001126205	25	5	Delay	NonPred	3	2	6	0.001126205
208.5	2.5117613	26	6	Delay	Pred	1	2	2	0.5117613
213	2.5317451	27	6	Delay	Pred	1	2	2	0.5317451
217.5	2.4552425	28	6	Delay	Pred	2	1	3	0.4552425
222	2.6023151	29	6	Delay	Pred	1	2	1	0.6023151
226.5	2.4081714	30	6	Delay	Pred	1	2	2	0.4081714
249	2.2916351	31	7	Delay	NonPred	4	1	7	0.2916351
253.5	2.792717	32	7	Delay	NonPred	3	2	6	0.792717
258	2.3166877	33	7	Delay	NonPred	4	2	7	0.3166877
262.5	2.6154248	34	7	Delay	NonPred	4	2	8	0.6154248
267	3.091124	35	7	Delay	NonPred	4	2	8	1.091124
289.5	2.5912612	36	8	Delay	Pred	2	2	4	0.5912612
294	2.4931402	37	8	Delay	Pred	1	1	1	0.4931402
298.5	2.3531645	38	8	Delay	Pred	1	1	1	0.3531645
303	2.9173605	39	8	Delay	Pred	2	1	3	0.9173605
307.5	2.3837116	40	8	Delay	Pred	2	1	3	0.3837116
