onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.8139299	1	1	Delay	NonPred	3	2	6	0.8139299
10.5	2.4885054	2	1	Delay	NonPred	4	1	8	0.4885054
15	2.3957975	3	1	Delay	NonPred	3	2	6	0.3957975
19.5	2.3943779	4	1	Delay	NonPred	4	1	8	0.3943779
24	2.07613841	5	1	Delay	NonPred	3	1	6	0.07613841
46.5	2.4256017	6	2	Delay	Pred	2	2	4	0.4256017
51	2.001775572	7	2	Delay	Pred	2	1	3	0.001775572
55.5	2.3757865	8	2	Delay	Pred	1	2	2	0.3757865
60	2.1483272	9	2	Delay	Pred	1	1	1	0.1483272
64.5	2.6581361	10	2	Delay	Pred	1	1	1	0.6581361
87	2.3722436	11	3	Delay	NonPred	4	2	8	0.3722436
91.5	2.3056417	12	3	Delay	NonPred	3	1	5	0.3056417
96	2.3891651	13	3	Delay	NonPred	3	2	5	0.3891651
100.5	2.3063381	14	3	Delay	NonPred	3	1	5	0.3063381
105	2.3883924	15	3	Delay	NonPred	3	2	5	0.3883924
127.5	2.3366258	16	4	Delay	Pred	1	1	2	0.3366258
132	3.116232	17	4	Delay	Pred	1	1	1	1.116232
136.5	2.4896162	18	4	Delay	Pred	1	2	2	0.4896162
141	2.316953	19	4	Delay	Pred	2	1	3	0.316953
145.5	2.4090437	20	4	Delay	Pred	1	2	2	0.4090437
168	2.5329136	21	5	Delay	NonPred	4	1	7	0.5329136
172.5	2.3216668	22	5	Delay	NonPred	4	2	7	0.3216668
177	2.8054981	23	5	Delay	NonPred	3	1	6	0.8054981
181.5	2.5609639	24	5	Delay	NonPred	3	2	5	0.5609639
186	2.2142386	25	5	Delay	NonPred	4	1	7	0.2142386
208.5	2.489378	26	6	Delay	Pred	2	1	3	0.489378
213	2.2773279	27	6	Delay	Pred	2	2	4	0.2773279
217.5	2.7297657	28	6	Delay	Pred	2	1	3	0.7297657
222	2.356672	29	6	Delay	Pred	1	2	2	0.356672
226.5	2.353694	30	6	Delay	Pred	2	1	3	0.353694
249	2.4123532	31	7	Delay	NonPred	4	1	7	0.4123532
253.5	2.3056859	32	7	Delay	NonPred	3	2	6	0.3056859
258	2.3817727	33	7	Delay	NonPred	4	1	8	0.3817727
262.5	2.3290403	34	7	Delay	NonPred	4	2	8	0.3290403
267	2.3492406	35	7	Delay	NonPred	4	1	7	0.3492406
289.5	2.3524221	36	8	Delay	Pred	2	1	3	0.3524221
294	2.3978033	37	8	Delay	Pred	2	2	4	0.3978033
298.5	2.9064198	38	8	Delay	Pred	2	2	4	0.9064198
303	2.5407434	39	8	Delay	Pred	1	1	1	0.5407434
307.5	2.3378337	40	8	Delay	Pred	1	2	2	0.3378337
