onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.7994752	1	1	Delay	Pred	1	2	2	0.7994752	stim_7_B.png	stim_10_B.png
10.5	2.4099079	2	1	Delay	Pred	2	1	3	0.4099079	stim_3_B.png	stim_11_B.png
15	2.07833394	3	1	Delay	Pred	1	2	2	0.07833394	stim_7_B.png	stim_10_B.png
19.5	2.001728706	4	1	Delay	Pred	1	1	1	0.001728706	stim_7_B.png	stim_6_B.png
24	2.02354861	5	1	Delay	Pred	2	2	4	0.02354861	stim_3_B.png	stim_9_B.png
46.5	2.4671123	6	2	Delay	NonPred	3	2	6	0.4671123	stim_8_B.png	stim_4_B.png
51	2.7670272	7	2	Delay	NonPred	3	1	5	0.7670272	stim_8_B.png	stim_2_B.png
55.5	2.5953511	8	2	Delay	NonPred	4	2	8	0.5953511	stim_5_B.png	stim_12_B.png
60	2.4309875	9	2	Delay	NonPred	3	1	6	0.4309875	stim_8_B.png	stim_4_B.png
64.5	2.4909706	10	2	Delay	NonPred	3	1	5	0.4909706	stim_8_B.png	stim_2_B.png
87	2.5340555	11	3	Delay	Pred	2	2	4	0.5340555	stim_3_B.png	stim_9_B.png
91.5	2.530294	12	3	Delay	Pred	1	1	1	0.530294	stim_7_B.png	stim_6_B.png
96	2.5031637	13	3	Delay	Pred	1	2	2	0.5031637	stim_7_B.png	stim_10_B.png
100.5	2.2676733	14	3	Delay	Pred	1	1	1	0.2676733	stim_7_B.png	stim_6_B.png
105	2.5755517	15	3	Delay	Pred	2	2	4	0.5755517	stim_3_B.png	stim_9_B.png
127.5	2.4272212	16	4	Delay	NonPred	4	1	7	0.4272212	stim_5_B.png	stim_1_B.png
132	2.2705919	17	4	Delay	NonPred	3	2	6	0.2705919	stim_8_B.png	stim_4_B.png
136.5	2.001723047	18	4	Delay	NonPred	3	1	5	0.001723047	stim_8_B.png	stim_2_B.png
141	2.3910418	19	4	Delay	NonPred	3	2	6	0.3910418	stim_8_B.png	stim_4_B.png
145.5	2.6830701	20	4	Delay	NonPred	4	2	8	0.6830701	stim_5_B.png	stim_12_B.png
168	2.2312729	21	5	Delay	Pred	2	1	3	0.2312729	stim_3_B.png	stim_11_B.png
172.5	2.1059505	22	5	Delay	Pred	1	2	2	0.1059505	stim_7_B.png	stim_10_B.png
177	3.039156	23	5	Delay	Pred	1	1	1	1.039156	stim_7_B.png	stim_6_B.png
181.5	2.7069452	24	5	Delay	Pred	2	2	4	0.7069452	stim_3_B.png	stim_9_B.png
186	2.4779808	25	5	Delay	Pred	1	1	2	0.4779808	stim_7_B.png	stim_10_B.png
208.5	2.6823573	26	6	Delay	NonPred	4	2	8	0.6823573	stim_5_B.png	stim_12_B.png
213	2.4325093	27	6	Delay	NonPred	3	1	5	0.4325093	stim_8_B.png	stim_2_B.png
217.5	2.4180544	28	6	Delay	NonPred	3	2	5	0.4180544	stim_8_B.png	stim_2_B.png
222	2.7996959	29	6	Delay	NonPred	4	1	7	0.7996959	stim_5_B.png	stim_1_B.png
226.5	2.5153079	30	6	Delay	NonPred	4	2	8	0.5153079	stim_5_B.png	stim_12_B.png
249	2.7995798	31	7	Delay	Pred	2	1	3	0.7995798	stim_3_B.png	stim_11_B.png
253.5	2.5	32	7	Delay	Pred	1	0	0	n/a	stim_7_B.png	n/a
258	2.2886901	33	7	Delay	Pred	2	1	3	0.2886901	stim_3_B.png	stim_11_B.png
262.5	2.4278035	34	7	Delay	Pred	2	2	4	0.4278035	stim_3_B.png	stim_9_B.png
267	2.5658468	35	7	Delay	Pred	2	1	3	0.5658468	stim_3_B.png	stim_11_B.png
289.5	3.08301	36	8	Delay	NonPred	4	2	8	1.08301	stim_5_B.png	stim_12_B.png
294	2.3358355	37	8	Delay	NonPred	3	1	6	0.3358355	stim_8_B.png	stim_4_B.png
298.5	2.139209	38	8	Delay	NonPred	4	2	7	0.139209	stim_5_B.png	stim_1_B.png
303	2.2634636	39	8	Delay	NonPred	4	1	7	0.2634636	stim_5_B.png	stim_1_B.png
307.5	2.3632948	40	8	Delay	NonPred	4	1	7	0.3632948	stim_5_B.png	stim_1_B.png
