onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	3.002811	1	1	NoDelay	Pred	6	2	12	1.002811
10.5	2.5425604	2	1	NoDelay	Pred	5	2	10	0.5425604
15	2.3865417	3	1	NoDelay	Pred	5	1	9	0.3865417
19.5	2	4	1	NoDelay	Pred	6	0	0	n/a
24	2.2972826	5	1	NoDelay	Pred	6	1	11	0.2972826
46.5	2.5574142	6	2	NoDelay	NonPred	7	2	13	0.5574142
51	3.186669	7	2	NoDelay	NonPred	7	1	13	1.186669
55.5	2.4063946	8	2	NoDelay	NonPred	8	2	15	0.4063946
60	2.001943646	9	2	NoDelay	NonPred	7	1	14	0.001943646
64.5	2.4545538	10	2	NoDelay	NonPred	7	2	14	0.4545538
87	2	11	3	NoDelay	Pred	6	0	0	n/a
91.5	2.5347167	12	3	NoDelay	Pred	6	1	11	0.5347167
96	2.993558	13	3	NoDelay	Pred	5	2	10	0.993558
100.5	2	14	3	NoDelay	Pred	6	0	0	n/a
105	2.5047383	15	3	NoDelay	Pred	5	2	10	0.5047383
127.5	3.294543	16	4	NoDelay	NonPred	8	2	16	1.294543
132	2.3708599	17	4	NoDelay	NonPred	8	1	15	0.3708599
136.5	2	18	4	NoDelay	NonPred	7	0	0	n/a
141	2.3298211	19	4	NoDelay	NonPred	8	1	16	0.3298211
145.5	3.358677	20	4	NoDelay	NonPred	8	2	16	1.358677
168	2.3792502	21	5	NoDelay	Pred	6	2	12	0.3792502
172.5	2	22	5	NoDelay	Pred	5	0	0	n/a
177	2.5696885	23	5	NoDelay	Pred	6	1	11	0.5696885
181.5	2.4217465	24	5	NoDelay	Pred	5	2	10	0.4217465
186	2.3623615	25	5	NoDelay	Pred	5	1	9	0.3623615
208.5	2.3581504	26	6	NoDelay	NonPred	7	2	13	0.3581504
213	2	27	6	NoDelay	NonPred	7	0	0	n/a
217.5	2.398449	28	6	NoDelay	NonPred	7	1	13	0.398449
222	2.739077	29	6	NoDelay	NonPred	8	2	15	0.739077
226.5	2	30	6	NoDelay	NonPred	7	0	0	n/a
249	2	31	7	NoDelay	Pred	5	0	0	n/a
253.5	2.001770891	32	7	NoDelay	Pred	5	1	10	0.001770891
258	2.001924668	33	7	NoDelay	Pred	6	2	12	0.001924668
262.5	2	34	7	NoDelay	Pred	5	0	0	n/a
267	2	35	7	NoDelay	Pred	6	0	0	n/a
289.5	2.001816478	36	8	NoDelay	NonPred	8	1	15	0.001816478
294	2.6750278	37	8	NoDelay	NonPred	8	1	16	0.6750278
298.5	2	38	8	NoDelay	NonPred	7	0	0	n/a
303	2.4893729	39	8	NoDelay	NonPred	8	2	16	0.4893729
307.5	2.3977495	40	8	NoDelay	NonPred	8	2	15	0.3977495
