onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	3.140546	1	1	Delay	Pred	1	2	2	1.140546
10.5	2.7209424	2	1	Delay	Pred	2	1	3	0.7209424
15	2.73906	3	1	Delay	Pred	2	2	4	0.73906
19.5	2.4712437	4	1	Delay	Pred	2	1	3	0.4712437
24	2.3812222	5	1	Delay	Pred	1	2	2	0.3812222
46.5	2.7915234	6	2	Delay	NonPred	4	1	7	0.7915234
51	2.7411506	7	2	Delay	NonPred	4	2	8	0.7411506
55.5	2.7282546	8	2	Delay	NonPred	3	1	6	0.7282546
60	2.6211849	9	2	Delay	NonPred	4	2	8	0.6211849
64.5	2.5452068	10	2	Delay	NonPred	4	1	7	0.5452068
87	2.8933992	11	3	Delay	Pred	2	2	4	0.8933992
91.5	3.080511	12	3	Delay	Pred	2	1	3	1.080511
96	3.213841	13	3	Delay	Pred	2	2	4	1.213841
100.5	2.7538812	14	3	Delay	Pred	1	1	1	0.7538812
105	2.747961	15	3	Delay	Pred	2	2	4	0.747961
127.5	2.9700441	16	4	Delay	NonPred	4	1	7	0.9700441
132	2.9328679	17	4	Delay	NonPred	3	2	6	0.9328679
136.5	2.6502773	18	4	Delay	NonPred	3	1	5	0.6502773
141	2.3987281	19	4	Delay	NonPred	4	2	7	0.3987281
145.5	2.4411704	20	4	Delay	NonPred	3	1	6	0.4411704
168	2	21	5	Delay	Pred	1	0	0	n/a
172.5	2.7070523	22	5	Delay	Pred	1	1	2	0.7070523
177	3.061168	23	5	Delay	Pred	1	2	2	1.061168
181.5	2.4580269	24	5	Delay	Pred	2	1	3	0.4580269
186	2.08604869	25	5	Delay	Pred	2	2	4	0.08604869
208.5	3.323258	26	6	Delay	NonPred	4	1	8	1.323258
213	3.239503	27	6	Delay	NonPred	3	2	6	1.239503
217.5	2.7231201	28	6	Delay	NonPred	3	1	5	0.7231201
222	2.415585	29	6	Delay	NonPred	3	2	5	0.415585
226.5	2	30	6	Delay	NonPred	3	0	0	n/a
249	2.9112954	31	7	Delay	Pred	1	2	2	0.9112954
253.5	2.4841131	32	7	Delay	Pred	2	1	3	0.4841131
258	2.6395668	33	7	Delay	Pred	1	2	2	0.6395668
262.5	3.33951	34	7	Delay	Pred	1	1	1	1.33951
267	2	35	7	Delay	Pred	1	0	0	n/a
289.5	2.6444529	36	8	Delay	NonPred	3	2	5	0.6444529
294	2.5364443	37	8	Delay	NonPred	3	1	5	0.5364443
298.5	2	38	8	Delay	NonPred	4	0	0	n/a
303	2.4325412	39	8	Delay	NonPred	4	1	7	0.4325412
307.5	2.459235	40	8	Delay	NonPred	4	2	8	0.459235
