onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.864911	1	1	NoDelay	NonPred	7	2	14	0.864911
10.5	2.3402861	2	1	NoDelay	NonPred	7	2	13	0.3402861
15	2.5045353	3	1	NoDelay	NonPred	8	1	15	0.5045353
19.5	2.933138	4	1	NoDelay	NonPred	7	1	13	0.933138
24	3.177394	5	1	NoDelay	NonPred	8	2	15	1.177394
46.5	3.373237	6	2	NoDelay	Pred	5	2	9	1.373237
51	2.6649575	7	2	NoDelay	Pred	5	1	9	0.6649575
55.5	2.4284558	8	2	NoDelay	Pred	5	2	10	0.4284558
60	2.1602936	9	2	NoDelay	Pred	6	2	12	0.1602936
64.5	2.7338337	10	2	NoDelay	Pred	6	1	11	0.7338337
87	2.9450402	11	3	NoDelay	NonPred	7	2	13	0.9450402
91.5	3.013477	12	3	NoDelay	NonPred	8	2	15	1.013477
96	2	13	3	NoDelay	NonPred	7	0	0	n/a
100.5	2.4785506	14	3	NoDelay	NonPred	7	1	14	0.4785506
105	2.8491307	15	3	NoDelay	NonPred	8	2	16	0.8491307
127.5	2	16	4	NoDelay	Pred	5	0	0	n/a
132	2.2893076	17	4	NoDelay	Pred	6	2	12	0.2893076
136.5	2.9902518	18	4	NoDelay	Pred	5	2	10	0.9902518
141	2.4012106	19	4	NoDelay	Pred	6	1	11	0.4012106
145.5	2.3495931	20	4	NoDelay	Pred	6	1	11	0.3495931
168	2.9615132	21	5	NoDelay	NonPred	8	2	16	0.9615132
172.5	2.5266032	22	5	NoDelay	NonPred	7	2	13	0.5266032
177	2.6583956	23	5	NoDelay	NonPred	8	1	16	0.6583956
181.5	2.8710289	24	5	NoDelay	NonPred	7	1	13	0.8710289
186	2.01678478	25	5	NoDelay	NonPred	7	2	14	0.01678478
208.5	2.999393	26	6	NoDelay	Pred	5	1	9	0.999393
213	2.2911749	27	6	NoDelay	Pred	6	2	12	0.2911749
217.5	2.3960146	28	6	NoDelay	Pred	6	1	11	0.3960146
222	2.000760956	29	6	NoDelay	Pred	6	1	11	0.000760956
226.5	3.296499	30	6	NoDelay	Pred	5	2	10	1.296499
249	3.019625	31	7	NoDelay	NonPred	8	1	16	1.019625
253.5	2.8386642	32	7	NoDelay	NonPred	7	2	14	0.8386642
258	2.5883312	33	7	NoDelay	NonPred	8	1	15	0.5883312
262.5	2.5110009	34	7	NoDelay	NonPred	8	2	15	0.5110009
267	2.0169104	35	7	NoDelay	NonPred	8	1	16	0.0169104
289.5	2.1599754	36	8	NoDelay	Pred	6	2	12	0.1599754
294	2.5242906	37	8	NoDelay	Pred	6	1	11	0.5242906
298.5	2.9357171	38	8	NoDelay	Pred	5	2	10	0.9357171
303	2.5408446	39	8	NoDelay	Pred	5	1	9	0.5408446
307.5	2.01680829	40	8	NoDelay	Pred	5	2	10	0.01680829
