onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.5317147	1	1	Delay	NonPred	3	2	5	0.5317147	stim_11_A.png	stim_10_A.png
10.5	2.4018247	2	1	Delay	NonPred	3	2	5	0.4018247	stim_11_A.png	stim_10_A.png
15	2.2923186	3	1	Delay	NonPred	4	2	7	0.2923186	stim_9_A.png	stim_1_A.png
19.5	2.2730226	4	1	Delay	NonPred	3	1	6	0.2730226	stim_11_A.png	stim_7_A.png
24	2.3317441	5	1	Delay	NonPred	4	1	8	0.3317441	stim_9_A.png	stim_4_A.png
46.5	2.2884947	6	2	Delay	Pred	1	1	1	0.2884947	stim_12_A.png	stim_2_A.png
51	2.220134	7	2	Delay	Pred	1	2	2	0.220134	stim_12_A.png	stim_3_A.png
55.5	2.2975378	8	2	Delay	Pred	1	1	1	0.2975378	stim_12_A.png	stim_2_A.png
60	2.2778381	9	2	Delay	Pred	2	2	4	0.2778381	stim_6_A.png	stim_5_A.png
64.5	2.04004707	10	2	Delay	Pred	2	2	4	0.04004707	stim_6_A.png	stim_5_A.png
87	2.2839067	11	3	Delay	NonPred	4	1	7	0.2839067	stim_9_A.png	stim_1_A.png
91.5	2.3533148	12	3	Delay	NonPred	3	1	6	0.3533148	stim_11_A.png	stim_7_A.png
96	2.3163494	13	3	Delay	NonPred	4	2	8	0.3163494	stim_9_A.png	stim_4_A.png
100.5	2.3536853	14	3	Delay	NonPred	3	1	6	0.3536853	stim_11_A.png	stim_7_A.png
105	2.03790826	15	3	Delay	NonPred	3	1	6	0.03790826	stim_11_A.png	stim_7_A.png
127.5	2.2492541	16	4	Delay	Pred	1	2	2	0.2492541	stim_12_A.png	stim_3_A.png
132	2.396723	17	4	Delay	Pred	2	1	3	0.396723	stim_6_A.png	stim_8_A.png
136.5	2.2325328	18	4	Delay	Pred	1	1	1	0.2325328	stim_12_A.png	stim_2_A.png
141	2.06139518	19	4	Delay	Pred	2	1	3	0.06139518	stim_6_A.png	stim_8_A.png
145.5	2.2243271	20	4	Delay	Pred	1	2	2	0.2243271	stim_12_A.png	stim_3_A.png
168	2.3498053	21	5	Delay	NonPred	4	2	8	0.3498053	stim_9_A.png	stim_4_A.png
172.5	2.04866193	22	5	Delay	NonPred	4	1	7	0.04866193	stim_9_A.png	stim_1_A.png
177	2.2374149	23	5	Delay	NonPred	4	1	8	0.2374149	stim_9_A.png	stim_4_A.png
181.5	2.6177532	24	5	Delay	NonPred	4	2	8	0.6177532	stim_9_A.png	stim_4_A.png
186	2.8041559	25	5	Delay	NonPred	3	2	5	0.8041559	stim_11_A.png	stim_10_A.png
208.5	2.3519198	26	6	Delay	Pred	2	1	4	0.3519198	stim_6_A.png	stim_5_A.png
213	2.4360733	27	6	Delay	Pred	1	1	1	0.4360733	stim_12_A.png	stim_2_A.png
217.5	2.2160935	28	6	Delay	Pred	2	1	3	0.2160935	stim_6_A.png	stim_8_A.png
222	2.197056	29	6	Delay	Pred	1	2	2	0.197056	stim_12_A.png	stim_3_A.png
226.5	2.3055237	30	6	Delay	Pred	2	1	3	0.3055237	stim_6_A.png	stim_8_A.png
249	2.3566548	31	7	Delay	NonPred	3	2	5	0.3566548	stim_11_A.png	stim_10_A.png
253.5	2.3203677	32	7	Delay	NonPred	4	1	7	0.3203677	stim_9_A.png	stim_1_A.png
258	2.348261	33	7	Delay	NonPred	3	1	6	0.348261	stim_11_A.png	stim_7_A.png
262.5	2.2812663	34	7	Delay	NonPred	3	1	5	0.2812663	stim_11_A.png	stim_10_A.png
267	2.1080521	35	7	Delay	NonPred	4	1	7	0.1080521	stim_9_A.png	stim_1_A.png
289.5	2.4890281	36	8	Delay	Pred	2	1	3	0.4890281	stim_6_A.png	stim_8_A.png
294	2.4441487	37	8	Delay	Pred	1	2	2	0.4441487	stim_12_A.png	stim_3_A.png
298.5	2.5692809	38	8	Delay	Pred	2	1	3	0.5692809	stim_6_A.png	stim_8_A.png
303	2.1495481	39	8	Delay	Pred	1	2	2	0.1495481	stim_12_A.png	stim_3_A.png
307.5	2.3766182	40	8	Delay	Pred	2	2	4	0.3766182	stim_6_A.png	stim_5_A.png
