onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.4614388	1	1	Delay	Pred	1	1	1	0.4614388
10.5	2.2418107	2	1	Delay	Pred	2	2	4	0.2418107
15	2.1503124	3	1	Delay	Pred	2	2	4	0.1503124
19.5	2.3211518	4	1	Delay	Pred	2	1	3	0.3211518
24	2.2549093	5	1	Delay	Pred	1	2	2	0.2549093
46.5	2.3533487	6	2	Delay	NonPred	3	1	5	0.3533487
51	2.262761	7	2	Delay	NonPred	4	2	8	0.262761
55.5	2.2417512	8	2	Delay	NonPred	4	1	7	0.2417512
60	2.3263213	9	2	Delay	NonPred	4	2	7	0.3263213
64.5	2.3529209	10	2	Delay	NonPred	4	2	7	0.3529209
87	2.3179768	11	3	Delay	Pred	1	1	1	0.3179768
91.5	2.3217964	12	3	Delay	Pred	2	2	4	0.3217964
96	2.06139303	13	3	Delay	Pred	2	2	4	0.06139303
100.5	2.2344337	14	3	Delay	Pred	1	1	1	0.2344337
105	2.2858731	15	3	Delay	Pred	2	1	3	0.2858731
127.5	2.4577631	16	4	Delay	NonPred	4	2	8	0.4577631
132	2.2543858	17	4	Delay	NonPred	3	2	5	0.2543858
136.5	2.2821655	18	4	Delay	NonPred	3	1	6	0.2821655
141	2.3190358	19	4	Delay	NonPred	3	1	6	0.3190358
145.5	2.2821528	20	4	Delay	NonPred	3	2	6	0.2821528
168	2.1896197	21	5	Delay	Pred	1	2	1	0.1896197
172.5	2.001990274	22	5	Delay	Pred	1	1	1	0.001990274
177	2.1495725	23	5	Delay	Pred	2	1	3	0.1495725
181.5	2.08979508	24	5	Delay	Pred	1	1	1	0.08979508
186	2.006633995	25	5	Delay	Pred	1	2	2	0.006633995
208.5	2.001769847	26	6	Delay	NonPred	4	1	8	0.001769847
213	2.3016497	27	6	Delay	NonPred	4	1	8	0.3016497
217.5	2.2330803	28	6	Delay	NonPred	3	2	6	0.2330803
222	2.3490502	29	6	Delay	NonPred	4	2	7	0.3490502
226.5	2.1612339	30	6	Delay	NonPred	3	1	5	0.1612339
249	2.277891	31	7	Delay	Pred	2	2	4	0.277891
253.5	2.3466884	32	7	Delay	Pred	2	1	3	0.3466884
258	2.7510545	33	7	Delay	Pred	2	1	3	0.7510545
262.5	2.1461284	34	7	Delay	Pred	1	1	1	0.1461284
267	2.1342329	35	7	Delay	Pred	1	2	2	0.1342329
289.5	2.3149498	36	8	Delay	NonPred	4	2	8	0.3149498
294	2.6229825	37	8	Delay	NonPred	3	2	5	0.6229825
298.5	2.2260712	38	8	Delay	NonPred	3	1	6	0.2260712
303	2.3021946	39	8	Delay	NonPred	3	1	5	0.3021946
307.5	2.3470161	40	8	Delay	NonPred	4	1	7	0.3470161
