onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.3375327	1	1	NoDelay	NonPred	7	2	14	0.3375327
10.5	2.02134875	2	1	NoDelay	NonPred	7	2	14	0.02134875
15	2.305885	3	1	NoDelay	NonPred	8	1	16	0.305885
19.5	2.4211051	4	1	NoDelay	NonPred	7	1	13	0.4211051
24	2.3617866	5	1	NoDelay	NonPred	8	2	16	0.3617866
46.5	2.3574459	6	2	NoDelay	Pred	6	1	11	0.3574459
51	2.35374	7	2	NoDelay	Pred	5	1	10	0.35374
55.5	2.3960657	8	2	NoDelay	Pred	5	1	9	0.3960657
60	2.33043	9	2	NoDelay	Pred	5	1	9	0.33043
64.5	2.3335296	10	2	NoDelay	Pred	5	1	9	0.3335296
87	2.3703516	11	3	NoDelay	NonPred	7	2	13	0.3703516
91.5	2.2772719	12	3	NoDelay	NonPred	8	2	15	0.2772719
96	2.1697665	13	3	NoDelay	NonPred	7	2	14	0.1697665
100.5	2.4763628	14	3	NoDelay	NonPred	8	1	15	0.4763628
105	2.3040818	15	3	NoDelay	NonPred	8	1	15	0.3040818
127.5	2.3171145	16	4	NoDelay	Pred	6	2	12	0.3171145
132	2.3298569	17	4	NoDelay	Pred	5	1	9	0.3298569
136.5	2.1493089	18	4	NoDelay	Pred	6	2	12	0.1493089
141	2.2092755	19	4	NoDelay	Pred	6	1	11	0.2092755
145.5	2.237434	20	4	NoDelay	Pred	5	1	9	0.237434
168	2.4644258	21	5	NoDelay	NonPred	8	2	15	0.4644258
172.5	2.2939055	22	5	NoDelay	NonPred	8	2	16	0.2939055
177	2.2404924	23	5	NoDelay	NonPred	8	1	15	0.2404924
181.5	2.1481498	24	5	NoDelay	NonPred	7	1	14	0.1481498
186	2.2089477	25	5	NoDelay	NonPred	7	1	14	0.2089477
208.5	2.3098982	26	6	NoDelay	Pred	5	1	9	0.3098982
213	2.2020622	27	6	NoDelay	Pred	6	1	11	0.2020622
217.5	2.3576829	28	6	NoDelay	Pred	6	2	12	0.3576829
222	2.3624247	29	6	NoDelay	Pred	6	1	11	0.3624247
226.5	2.3088438	30	6	NoDelay	Pred	6	2	12	0.3088438
249	2.2409236	31	7	NoDelay	NonPred	7	1	13	0.2409236
253.5	2.3254833	32	7	NoDelay	NonPred	7	1	13	0.3254833
258	2.2093718	33	7	NoDelay	NonPred	7	1	13	0.2093718
262.5	2.3175316	34	7	NoDelay	NonPred	8	2	16	0.3175316
267	2.2023768	35	7	NoDelay	NonPred	8	2	16	0.2023768
289.5	2.6138422	36	8	NoDelay	Pred	6	1	11	0.6138422
294	2.09673577	37	8	NoDelay	Pred	5	1	9	0.09673577
298.5	2.2782816	38	8	NoDelay	Pred	5	2	10	0.2782816
303	2.2109432	39	8	NoDelay	Pred	5	2	10	0.2109432
307.5	2.03051662	40	8	NoDelay	Pred	6	2	12	0.03051662
